cardNumber,playerName,team
US74,Travis Jankowski,New York Mets®
US75,Andrés Giménez,Toronto Blue Jays®
US76,Martín Maldonado,San Diego Padres™
US77,Jack Dreyer,Los Angeles Dodgers®
US78,Trenton Brooks,San Diego Padres™
US79,Willie MacIver,Athletics™
US80,Lawrence Butler / Brent Rooker,Athletics™
US81,Danny Jansen,Tampa Bay Rays™
US82,Max Kepler,Philadelphia Phillies®
US83,Kris Bubic,Kansas City Royals®
US84,Shohei Ohtani,Los Angeles Dodgers®
US85,Aaron Judge / Jazz Chisholm Jr.,New York Yankees®
US86,Aaron Judge,New York Yankees®
US87,Drake Baldwin,Atlanta Braves™
US88,Dairon Blanco,Kansas City Royals®
US89,Braydon Fisher,Toronto Blue Jays®
US90,Omar Cruz,San Diego Padres™
US91,Tyler Heineman,Toronto Blue Jays®
US92,Drew Avans,Milwaukee Brewers™
US93,Jace Jung,Detroit Tigers®
US94,Adael Amador,Colorado Rockies™
US95,Michel Otañez,Athletics™
US96,J.C. Escarra,New York Yankees®
US97,Brandon Young,Baltimore Orioles®
US98,Jake Burger,Texas Rangers®
US99,Max Meyer,Miami Marlins®
US100,Justin Verlander,San Francisco Giants®
US101,Paul DeJong,Washington Nationals®
US102,Luis Mey,Cincinnati Reds®
US103,Walker Buehler,Boston Red Sox®
US104,Carlos Duran,Athletics™
US105,Marcelo Mayer,Boston Red Sox®
US106,Nick Allen,Atlanta Braves™
US107,Bryce Harper / Nick Castellanos,Philadelphia Phillies®
US108,Justin Hagenman,New York Mets®
US109,Robert Hassell III,Washington Nationals®
US110,Josh Naylor,Arizona Diamondbacks®
US111,Ronny Simon,Pittsburgh Pirates®
US112,Romy Gonzalez,Boston Red Sox®
US113,Drake Baldwin,Atlanta Braves™
US114,Grant Wolfram,Baltimore Orioles®
US115,Raymond Burgos,San Francisco Giants®
US116,Aroldis Chapman,Boston Red Sox®
US117,Logan VanWey,Houston Astros®
US118,Gage Workman,Detroit Tigers®
US119,Blake Snell / Tyler Glasnow,Los Angeles Dodgers®
US120,Yohel Pozo,St. Louis Cardinals®
US121,Ryan Johnson,Angels®
US122,Tyler Tolbert,Kansas City Royals®
US123,Braxton Fulford,Colorado Rockies™
US124,Ryan Rolison,Colorado Rockies™
US125,Joc Pederson,Texas Rangers®
US126,Hayden Senger,New York Mets®
US127,Mick Abel,Philadelphia Phillies®
US128,Kevin Alcántara,Chicago Cubs®
US129,Kristian Campbell,Boston Red Sox®
US130,Ben Williamson,Seattle Mariners™
US131,Cade Gibson,Miami Marlins®
US132,Anthony Banda,Los Angeles Dodgers®
US133,Blake Treinen,Los Angeles Dodgers®
US134,Noah Murdock,Kansas City Royals®
US135,Landen Roupp,San Francisco Giants®
US136,Kyle Hendricks,Angels®
US137,Logan Henderson,Milwaukee Brewers™
US138,Mason Fluharty,Toronto Blue Jays®
US139,Jon Berti,Chicago Cubs®
US140,Cade Horton,Chicago Cubs®
US141,Iván Herrera,St. Louis Cardinals®
US142,Johnathan Rodríguez,Cleveland Guardians®
US143,CJ Alexander,Athletics™
US144,Jonathan Bermúdez,Miami Marlins®
US145,Edgar Quero,Chicago White Sox®
US146,Kade Strowd,Baltimore Orioles®
US147,Tirso Ornelas,San Diego Padres™
US148,Carlos Santana,Cleveland Guardians®
US149,Victor Caratini,Houston Astros®
US150,Santiago Espinal,Cincinnati Reds®
US151,Chase Dollander,Colorado Rockies™
US152,Tyler Mahle,Texas Rangers®
US153,Luken Baker,St. Louis Cardinals®
US154,Antonio Senzatela,Colorado Rockies™
US155,Brett Baty,New York Mets®
US156,Carson Kelly,Chicago Cubs®
US157,Colton Gordon,Houston Astros®
US158,Lake Bachar,Miami Marlins®
US159,Fraser Ellard,Chicago White Sox®
US160,Wilmer Flores,San Francisco Giants®
US161,Armando Alvarez,Minnesota Twins®
US162,Bailey Horn,Detroit Tigers®
US163,Fernando Cruz,New York Yankees®
US164,Pete Crow-Armstrong,Chicago Cubs®
US165,Jack Leiter,Texas Rangers®
US166,Miguel Rojas,Los Angeles Dodgers®
US167,Chase Lee,Detroit Tigers®
US168,Eric Yang,Cincinnati Reds®
US169,Oliver Dunn,Milwaukee Brewers™
US170,Caleb Durbin,Milwaukee Brewers™
US171,Ramón Laureano,Baltimore Orioles®
US172,Daylen Lile,Washington Nationals®
US173,Mark Leiter Jr.,New York Yankees®
US174,Christian Koss,San Francisco Giants®
US175,Jonathan India,Kansas City Royals®
US176,Evan Sisk,Kansas City Royals®
US177,AJ Blubaugh,Houston Astros®
US178,Devin Williams,New York Yankees®
US179,Ryan Walker,San Francisco Giants®
US180,Jacob Wilson,Athletics™
US181,Dylan Carlson,Baltimore Orioles®
US182,Jose Iglesias,San Diego Padres™
US183,Bryan King,Houston Astros®
US184,Bryce Harper,Philadelphia Phillies®
US185,Matthew Liberatore,St. Louis Cardinals®
US186,Cole Henry,Washington Nationals®
US187,Caden Dana,Angels®
US188,Graham Pauley,Miami Marlins®
US189,Eli White,Atlanta Braves™
US190,Matt Gorski,Pittsburgh Pirates®
US191,Cal Quantrill,Miami Marlins®
US192,John Rave,Kansas City Royals®
US193,Jackson Jobe,Detroit Tigers®
US194,Max Lazar,Philadelphia Phillies®
US195,Isaac Paredes,Houston Astros®
US196,Rhylan Thomas,Seattle Mariners™
US197,Nick Kurtz,Athletics™
US198,Bryan Sammons,Detroit Tigers®
US199,Roki Sasaki,Los Angeles Dodgers®
US200,Matt Shaw,Chicago Cubs®
US201,Nick Kurtz,Athletics™
US202,Ryan Loutos,Washington Nationals®
US203,Orlando Ribalta,Washington Nationals®
US204,Alexander Canario,Pittsburgh Pirates®
US205,Blaine Crim,Texas Rangers®
US206,Gabriel Arias,Cleveland Guardians®
US207,Kyle Higashioka,Texas Rangers®
US208,Kody Clemens,Minnesota Twins®
US209,MJ Melendez / Bobby Witt Jr.,Kansas City Royals®
US210,Yaramil Hiraldo,Baltimore Orioles®
US211,Patrick Monteverde,Miami Marlins®
US212,Eric Orze,Tampa Bay Rays™
US213,Logan Davidson,Athletics™
US214,Cade Horton,Chicago Cubs®
US215,Jack O'Loughlin,Colorado Rockies™
US216,Nathan Wiles,Atlanta Braves™
US217,Fernando Tatis Jr.,San Diego Padres™
US218,James Wood,Washington Nationals®
US219,Mike Vasil,Chicago White Sox®
US220,Victor MESA JR.,Miami Marlins®
US221,Jackson Merrill / Fernando Tatis Jr.,San Diego Padres™
US222,Michael Lorenzen,Kansas City Royals®
US223,Dylan Crews,Washington Nationals®
US224,Tim Elko,Chicago White Sox®
US225,Gavin Sheets,San Diego Padres™
US226,Tayler Saucedo,Seattle Mariners™
US227,Marc Church,Texas Rangers®
US228,Dane Myers,Miami Marlins®
US229,Marcell Ozuna / Ozzie Albies,Atlanta Braves™
US230,Nathaniel Lowe,Washington Nationals®
US231,Hunter Bigge,Tampa Bay Rays™
US232,Juan Morillo,Arizona Diamondbacks®
US233,Christian Yelich / Jackson Chourio,Milwaukee Brewers™
US234,Bryan De La Cruz,New York Yankees®
US235,Elly De La Cruz,Cincinnati Reds®
US236,Moisés Ballesteros,Chicago Cubs®
US237,Carlos Estévez,Kansas City Royals®
US238,Zak Kent,Cleveland Guardians®
US239,Alex Vesia,Los Angeles Dodgers®
US240,Randy Rodríguez,San Francisco Giants®
US241,Marcelo Mayer / Kristian Campbell,Boston Red Sox®
US242,Charlie Morton,Baltimore Orioles®
US243,Brooks Lee,Minnesota Twins®
US244,Julio Rodríguez / Randy Arozarena,Seattle Mariners™
US245,Clay Holmes,New York Mets®
US246,Mickey Moniak,Colorado Rockies™
US247,Tyler Owens,Detroit Tigers®
US248,Justin Steele,Chicago Cubs®
US249,Gerson Garabito,Texas Rangers®
US250,Max Muncy,Athletics™
US251,Alan Roden,Toronto Blue Jays®
US252,Justin Sterner,Athletics™
US253,Caleb Freeman,Chicago White Sox®
US254,Gunnar Hoglund,Athletics™
US255,Will Wilson,Cleveland Guardians®
US256,Dalton Rushing,Los Angeles Dodgers®
US257,Hunter Dobbins,Boston Red Sox®
US258,Jorbit Vivas,New York Yankees®
US259,Chase Dollander,Colorado Rockies™
US260,Francisco Lindor / Juan Soto,New York Mets®
US261,Craig Yoho,Milwaukee Brewers™
US262,Moisés Ballesteros,Chicago Cubs®
US263,Jeremiah Estrada,San Diego Padres™
US264,Kumar Rocker,Texas Rangers®
US265,Sauryn Lao,Seattle Mariners™
US266,Tommy Pham,Pittsburgh Pirates®
US267,Adrian Del Castillo,Arizona Diamondbacks®
US268,Ty France,Minnesota Twins®
US269,Shohei Ohtani / Roki Sasaki,Los Angeles Dodgers®
US270,Mick Abel,Philadelphia Phillies®
US271,Tylor Megill,New York Mets®
US272,Jose Herrera,Arizona Diamondbacks®
US273,Thomas Harrington,Pittsburgh Pirates®
US274,Maverick Handley,Baltimore Orioles®
US275,Chase Petty,Cincinnati Reds®
US276,Marcelo Mayer,Boston Red Sox®
US277,Chandler Simpson,Tampa Bay Rays™
US278,Shane Smith,Chicago White Sox®
US279,Carson McCusker,Minnesota Twins®
US280,Evan Kravetz,Cincinnati Reds®
US281,Donovan Solano,Seattle Mariners™
US282,Coby Mayo,Baltimore Orioles®
US283,Jeffrey Springs,Athletics™
US284,Erik Sabrowski,Cleveland Guardians®
US285,Juan Mejia,Colorado Rockies™
US286,Zac Veen,Colorado Rockies™
US287,Tim Tawa,Arizona Diamondbacks®
US288,Logan Allen,Cleveland Guardians®
US289,Rafael Marchán,Philadelphia Phillies®
US290,Francisco Lindor,New York Mets®
US291,Mickey Gasper,Minnesota Twins®
US292,Ryan Gusto,Houston Astros®
US293,Matt Svanson,St. Louis Cardinals®
US294,Davis Martin,Chicago White Sox®
US295,Ryan Bergert,San Diego Padres™
US296,Parker Dunshee,Atlanta Braves™
US297,Luis Torrens,New York Mets®
US298,Cam Smith,Houston Astros®
US299,Andrew Heaney,Pittsburgh Pirates®
US300,Rafael Devers,San Francisco Giants®
US301,Kyle Hart,San Diego Padres™
US302,Logan Evans,Seattle Mariners™
US303,Tyler Freeman,Colorado Rockies™
US304,Daniel Robert,Texas Rangers®
US305,Derek Hill,Miami Marlins®
US306,Jake Mangum,Tampa Bay Rays™
US307,Chad Patrick,Milwaukee Brewers™
US308,Ryan Fitzgerald,Minnesota Twins®
US309,Dansby Swanson / Matt Shaw,Chicago Cubs®
US310,Eric Wagaman,Miami Marlins®
US311,Kevin Pillar,Texas Rangers®
US312,Hyeseong Kim,Los Angeles Dodgers®
US313,Miles Mastrobuoni,Seattle Mariners™
US314,Matthew Lugo,Angels®
US315,Tyler Callihan,Cincinnati Reds®
US316,Drew Rasmussen,Tampa Bay Rays™
US317,Ryan Miller,Detroit Tigers®
US318,Rhett Lowder,Cincinnati Reds®
US319,Michael Darrell-Hicks,Angels®
US320,Austin Kitchen,Seattle Mariners™
US321,Carson Palmquist,Colorado Rockies™
US322,Amed Rosario,Washington Nationals®
US323,Luis Contreras,Houston Astros®
US324,Ryan Zeferjahn,Angels®
US325,Edgar Quero,Chicago White Sox®
US326,James Meeker,Milwaukee Brewers™
US327,Spencer Schwellenbach,Atlanta Braves™
US328,Camilo Doval,San Francisco Giants®
US329,Robert Garcia,Texas Rangers®
US330,Austin Wynns,Athletics™
US331,Elly De La Cruz / Matt McLain,Cincinnati Reds®
US332,Agustín Ramírez,Miami Marlins®
US333,Brady Feigl,Minnesota Twins®
US334,Luis Urías,Athletics™
US335,Colin Rea,Chicago Cubs®
US336,Luisangel Acuña,New York Mets®
US337,Chase Meidroth,Chicago White Sox®
US338,José Fermin,Angels®
US339,Thairo Estrada,Colorado Rockies™
US340,Myles Straw,Toronto Blue Jays®
US341,Nolan Jones,Cleveland Guardians®
US342,Luke Keaschall,Minnesota Twins®
US343,Jorge Soler,Angels®
US344,Brady Singer,Cincinnati Reds®
US345,Matt Shaw,Chicago Cubs®
US346,JoJo Romero,St. Louis Cardinals®
US347,Michael Soroka,Washington Nationals®
US348,David Morgan,San Diego Padres™
US349,Chandler Simpson,Tampa Bay Rays™
US350,Paxton Schultz,Toronto Blue Jays®
