player_name,CT_list,lowest_price,second_lowest_price,lowest_to_second_ratio,price_gap,lowest_seller,lowest_title,lowest_item_web_url,lowest_item_id,second_seller,second_title,second_item_web_url,second_item_id
Spencer Schwellenbach,Golden Mirror,89.98,622.0,0.144662,532.02,primeapparels,2025 Topps Update Series Golden Mirror Variation Spencer Schwellenbach RC Rookie,,,stu_21867,2025 Topps Update Series Spencer Schwellenbach On Card Golden Auto Golden Mirror,,
Justin Verlander,Chrome,2.71,18.3,0.148087,15.59,mostarcollectibles,2025 Topps Update Baseball - Justin Verlander Mojo Silver Chrome Pack #U90C-29,,,mlbcatcher,2025 Topps Update Justin Verlander Purple Chrome Mojo /75 #U90C-29 + Pin + More,,
Brady Feigl,Gold 50,6.82,44.99,0.151589,38.17,farmgirl2257,2025 Topps Update Brady Feigl Gold Foil Parallel RC /50 Minnesota Twins #US333,,,att10,2025 Topps Update BRADY FEIGL RC Rookie #US333 GOLD Rainbow FOIL #d 24/50 Twins,,
Chase Lee,Gold 50,7.62,44.99,0.169371,37.37,burger708,2025 Topps Update Chase Lee Gold Foil /50,,,mrs2469,2025 Topps Update #US167 Chase Lee RC Gold Holo Foil/50,,
Tsung-Che Cheng,Blue Rainbow,8.34,45.46,0.183458,37.12,edclay,2025 Topps Update Blue Foil Tsung-Che Cheng RC 31/150 Pittsburgh Pirates,,,cardfellaz7130,2025 Topps Update Tsung-Che Cheng RC AUTO Blue Baseball Stars #BSAU-TC 012/150,,
nan,Red 5,28.5,149.99,0.190013,121.49,theboydeezysports,2025 Topps Update Series - Johnathan Rodriguez #US142 Red Diamanté Foil 1/5,,,sgt_bucks_bunker,2025 Topps Update Red Foil 5/5 Bookend Andres Gimenez #70 Toronto Blue Jays,,
Shohei Ohtani,Mvp,4.75,24.99,0.190076,20.24,cc_baseball_cards,2025 Topps Update Series Shohei Ohtani MVP #MV-2,,,kylefromnorthdakota,2025 Topps Update #MV-2 MVP Insert Shohei Ohtani LA Dodgers Pink Foil Parallel,,
Trenton Brooks,Photo Variation,2.98,15.31,0.194644,12.33,packhog,2025 Topps Update Trenton Brooks RC True Photo Variation #US78 Padres,,,mostarcollectibles,2025 Topps Update - Trenton Brooks Rookie Card #US78 (True Photo Variation),,
Hunter Dobbins,Photo Variation,19.99,100.75,0.198412,80.76,grandslamfamilytrading,2025 Topps Update-Hunter Dobbins RC #US257 True Photo Variation,,,skidoobadivers,2025 Topps Update-Hunter Dobbins RC #US257 True Photo Variation,,
Nathan Wiles,Blue Rainbow,4.35,21.9,0.19863,17.55,arrc-cards,Nathan Wiles RC /150 Blue Holo Foil - 2025 Topps Update #US216 ATL Braves,,,absolutesportscards1953,2025 Topps Update Series Nathan Wiles #US216 Auto Blue Refractor /150 (RC),,
Shane Smith,1990,3.31,16.0,0.206875,12.69,gabelle620,2025 Topps Update Series 35th Anniversary Mojofractor #U90C-84 Shane Smith RC 90,,,sammysosafan1974,2025 Topps Update 1990 Topps Baseball Autographs Shane Smith #90AU-SSM Rookie,,
Max Muncy,Gold 50,18.0,84.94,0.211914,66.94,greg-9671,2025 Topps Update Series  Max Muncy (RC) Gold /50,,,aecolombo,2025 Topps Update - Max Muncy Baseball Stars #BSAU-MMU (RC) - Gold Auto /50,,
Tim Elko,Green Foil,18.34,85.0,0.215765,66.66,johnny_ford_cards,2025 Topps Update Green Tim Elko RC 05/99 #US224,,,tonsofclay,2025 Topps Update - Tim Elko /99 - Auto - Green - Baseball Stars - White Sox,,
Tanner Gordon,Gold 50,3.25,14.99,0.216811,11.74,peachstatesportscards,2025 Topps Update Series Tanner Gordon Rookie Gold Foil /50 Rockies,,,cojcoll89,2025 Topps Update #US8 Tanner Gordon Gold Holo Foil #/50,,
Justin Sterner,Blue Rainbow,2.23,9.99,0.223223,7.76,pet_that_goat,"2025 Topps Update - Blue Rainbow Foil - #US252 Justin Sterner SN,RC",,,oceancardsandcollectables,"2025 Topps Update Blue Rainbow Foil #US252 Justin Sterner Athletics 049/150,RC",,
Will Wilson,Blue Rainbow,4.31,19.25,0.223896,14.94,mostarcollectibles,2025 Topps Update Baseball - Will Wilson Rookie #US255 (Blue Foil /150),,,dmarren,2025 Topps Update Blue RC Will Wilson #US255 Cleveland Guardians 53/150,,
Eric Orze,Black 10,40.29,177.77,0.226641,137.48,mn-sportscards,2025 Topps Update Baseball Eric Orze #US212 RC Rookie Black Foil /10,,,lakers19775,2025 Topps Update US212 Eric Orze Black 10/10 Bookend,,
Francisco Lindor,Green Foil,7.85,33.79,0.232317,25.94,texasbeanman,FRANCISCO LINDOR 2025 Topps Update #US290 GREEN Rainbow Foil /99 New York Mets,,,okcards76,2025 Topps Update GREEN HOLO FOIL /99 Juan Soto Francisco Lindor #US260 Mets SP,,
Hayden Birdsong,Blue Rainbow,2.25,9.23,0.24377,6.98,grandslamcards1,2025 Topps Update #US34 Hayden Birdsong Blue Holo Foil #/150,,,oldntym,RARE HAYDEN BIRDSONG /150 BLUE FOIL ROOKIE CARD 2025 TOPPS UPDATE SERIES GIANTS,,
Garrett McDaniels,Chrome,1.65,6.75,0.244444,5.1,tmgrnzx9r,2025 Topps Update Chrome GARRETT MCDANIELS Sepia Refractor Rookie Card USC20,,,catfish0311,2025 TOPPS UPDATE SERIES CHROME WAVE GARRETT McDANIELS USC20,,
Craig Yoho,Chrome,1.72,6.99,0.246066,5.27,shooterscardsplus,2025 Topps Update Chrome - Craig Yoho RC #USC131,,,626_baseballcards,2025 Topps Update Series Chrome - Craig Yoho (RC) #USC131 Pink Reverse,,
Shohei Ohtani,Photo Variation,494.99,2000.0,0.247495,1505.01,hangerboxheaven,2025 Topps Update Shohei Ohtani True Photo Variation US84 Dodgers 🚨 Nod & Smile,,,sports_card_superstore,Shohei Ohtani Roki #269 2025 Topps Update Veteran Combos Photo Variation PSA 9,,
Jace Jung,Sandglitter,3.48,14.0,0.248571,10.52,cardfinders,2025 Topps Update Sandglitter Exclusive Parallel Jace Jung Tigers RC US93,,,crackerjack352,Jace Jung 2025 Topps Update #US93 Sandglitter RC Detroit Tigers,,
nan,Canvas 50,7.99,31.98,0.249844,23.99,montananj1,2025 Topps Update Andres Munoz Canvas #37/50 #US12,,,brushing23,Kevin Alcantara 2025 Topps Update Canvas Rookie Debut  46/50 Card #US128,,
Luarbert Arias,Sandglitter,1.0,4.0,0.25,3.0,pulk76,2025 Topps Update Series Silver Sand Glitter Foil RC Luarbert Arias Miami Marlin,,,xhagin,2025 Topps Update Series - Luarbert Arias #US53 Sandglitter (RC),,
Luis Mey,Holiday Jackolantern,2.5,9.99,0.25025,7.49,ajames909,2025 Topps Update Series Luis Mey RC #US102 [Holiday Jack-O-Lantern Foil],,,jaretl,2025 Topps Update Luis Mey Holiday Jack O'Lantern #US102 RC,,
Alan Roden,1990,2.68,10.48,0.255725,7.8,cardboardprospect,2025 Topps Update Alan Roden #U90C-15 Mojo RC 35th Anniversary Toronto Blue Jays,,,shags_cards,2025 Topps Update Alan Roden 1990 Insert AUTO AUTOGRAPH 🔥 Rookie RC 📈,,
Gabriel Arias,Blue Rainbow,3.99,15.6,0.255769,11.61,cards98765,2025 Topps Update Gabriel Arias BLUE FOIL 052/150 Cleveland Guardians #US206,,,dollardeals007,2025 Topps Update Baseball Gabriel Arias Blue Rainbow Foil #'D 144/150 #US206,,
Justin Sterner,Purple Rainbow,2.31,8.75,0.264,6.44,2ndtonone78,2025 Topps Update #US252 JUSTIN STERNER RC Purple Rainbow Foil /250,,,caughtupintheskycards,2025 Topps Update Justin Sterner RC Purple Foil #010/250 Athletics,,
Dairon Blanco,Blue Rainbow,2.99,11.28,0.265071,8.29,thecord44,2025 TOPPS UPDATE SERIES DAIRON BLANCO BLUE FOIL /150 ROYALS,,,skirk1,2025 Topps Update DAIRON BLANCO BLUE FOIL 7/150 #US88 KANSAS CITY ROYALS,,
Sauryn Lao,Sandglitter,1.99,7.5,0.265333,5.51,generalbentleytrading,2025 Topps Update Series #US265 Sauryn Lao (RC) Sandglitter,,,nbtw1aolcom,2025 Topps Update Series - Sauryn Lao #US265 Sandglitter (RC) FREE SHIPPING!,,
Shohei Ohtani,Orange 25,265.96,1000.0,0.26596,734.04,ri_fashions,2025 Topps Update Series Orange 15/25 Stars Of MLB Shohei Ohtani #SMLB-77,,,csack28,2025 Topps Update Shohei Ohtani #US84 Nod And Smile Orange Foil Parallel 19/25!!,,
Kumar Rocker,Blue Rainbow,4.79,17.99,0.266259,13.2,acts_of_insanity,2025 Topps Update Series KUMAR ROCKER RC RD DEBUT Blue Rainbow Foil /150 NM,,,joe_baggs_collects,Kumar Rocker 2025 Topps Update Baseball Stars Auto Blue /150  #BSAU-KR Rangers!!,,
Ben Williamson,Gold 50,10.57,39.0,0.271026,28.43,budssportscards,2025 Topps Update Ben Williamson Rookie RC /50 Gold US130 (123),,,henryd30,2025 Topps Update Ben Williamson Baseball Stars Auto Gold #d 06/50 RC Mariners,,
Nick Allen,Green Foil,3.08,11.28,0.27305,8.2,dannybobany,2025 Topps Update Green Foil Nick Allen 55/99 Atlanta Braves #US106,,,skirk1,2025 Topps Update NICK ALLEN GREEN FOIL 47/99 #US106 ATLANTA BRAVES,,
Hayden Birdsong,Gold 50,16.48,59.78,0.275677,43.3,desho5809,2025 Topps Update Rising Rookies Relic Hayden Birdsong Gold /50 RC SP Giants,,,bearscardandcollectibles,2025 Topps Update #US34 Hayden Birdsong /50 True Gold Rookie Debut Card (RC),,
Tim Elko,Blue Rainbow,14.41,51.97,0.277275,37.56,benspackattack,2025 Topps Update Tim Elko Blue Foil RC #US224 /150 Chicago White Sox Rookie SP,,,dunbarsportscards,🔥Tim Elko 2025 Topps Update Blue Foil RC #US224 075/150 White Sox Rookie SP,,
Eric Yang,Green Foil,5.97,21.5,0.277674,15.53,leggs-lists,Eric Yang (RC) 2025 Topps Update Green Rainbow Foil 24/99 #US168 Cincinnati Reds,,,siusc-1054,2025 Topps Update Eric Yang Green Rainbow Foil Rookie /99 #US168 Cincinnati Reds,,
Blake Snell / Tyler Glasnow,Orange Black,2.26,8.02,0.281796,5.76,infinityartmedia,TYLER GLASNOW / BLAKE SNELL—2025 Topps Update Series Holiday Orange Foil #US119,,,comc_consignment,2025 Topps Update Holiday Orange & Black Foil Blake Snell Tyler Glasnow 9hr,,
Austin Wynns,Sandglitter,1.49,5.26,0.28327,3.77,krgan313,2025 Topps Update Series - Austin Wynns #US330 Sandglitter,,,comc_consignment,2025 Topps Update Sandglitter Austin Wynns #US330 0qm1,,
Cole Henry,Orange Black,2.0,7.01,0.285307,5.01,otterdentradingcompany,2025 Topps Update Series - Cole Henry #US186 Holiday Orange & Black Foil (RC),,,paugau-sports-cards,2025 Topps Update Series - #US186 Cole Henry Orange & Black Foil Nationals,,
Aaron Judge,Mvp,10.0,35.0,0.285714,25.0,ronopus,"Aaron Judge 2025 Topps Update Hits, ""Mysticle"". All Star ASG2, MVP Red, US86",,,caughtupintheskycards,2025 Topps Update Aaron Judge “MVP” Pink Foil SP Yankees,,
Dylan Crews,Orange 25,30.5,105.98,0.28779,75.48,jaymartcards,DYLAN CREWS 2025 Topps Update Nigh Terrors #NT-13 Orange Rookie RC #16/25,,,hobbygems,DYLAN CREWS 2025 Topps Update RC Major League Material Orange 3-Color Patch 3/25,,
Chase Petty,Gold 2025,2.95,9.99,0.295295,7.04,whitesoxfan8907,Chase Petty Reds RC 2025 Topps Update Gold Parallel /2025 US275,,,miccumm-39,2025 Topps Update Series Chase Petty #US275 RC Gold Border Reds 1196/2025,,
Miles Mastrobuoni,Green Foil,5.94,20.0,0.297,14.06,crimsoncloakcollectibles,2025 Topps Update #US313 Miles Mastrobuoni Green Rainbow Foil #/99,,,rack_pack_cards,Miles Mastrobuoni 2025 Topps Update Green Rainbow Foil Mariners 87/99,,
Hunter Bigge,Blue Rainbow,2.99,9.99,0.299299,7.0,tywen_8,2025 Topps Update #US231 HUNTER BIGGE BLUE PARALLEL RC ROOKIE # /150 RAYS,,,sgoodbar,2025 Topps Update #US231 HUNTER BIGGE BLUE PARALLEL RC ROOKIE # /150 RAYS,,
Gage Workman,Red 5,70.99,234.75,0.302407,163.76,damiamoh,Gage Workman 2025 Topps Update /5 red Detroit Tigers US118,,,colorado.card.guy2012,2025 Topps Update AUTO GAGE WORKMAN RC TRUE RED REFRACTOR /5,,
Drew Avans,Gold 50,30.25,99.99,0.30253,69.74,mannybaseball,2025 Topps Update Series Drew Avans #US92 Gold Rainbow Foil /50 (RC),,,scottace13us,2025 Topps Update #US92 Drew Avans True Gold 50/50 Milwaukee Brewers Rookie,,
Rhylan Thomas,Green Foil,4.55,15.0,0.303333,10.45,jefmey2,2025 Topps Update Series Rhylan Thomas Green Rainbow Foil /99 #US196 RC,,,adagree-75,2025 Topps Update Series - Rhylan Thomas #US196 Green Rainbow Foil 70/99 (RC),,
Michael Taylor,Purple Rainbow,3.99,13.08,0.305046,9.09,stewsblus,2025 Topps Update Michael Taylor Purple Foil /250 White Sox,,,big_b_cards,2025 Topps Update Michael Taylor #US57 Purple Rainbow Foil /250 White Sox,,
Victor MESA JR.,Sandglitter,2.99,9.75,0.306667,6.76,ntcardvault,2025 Topps Update Sand Glitter- Victor Mesa Jr. RC,,,sallipipes314,2025 Topps Update Victor Mesa Jr. Pink Sand Glitter RC Marlins,,
Jorbit Vivas,Chrome,3.79,12.31,0.30788,8.52,626_baseballcards,2025 Topps Update Series Chrome - Jorbit Vivas (RC) #USC113,,,mlbcatcher,2025 Topps Update Chrome #AC-JV Jorbit Vivas Rookie Auto Refractor /499 RC,,
Brady Feigl,Vintage 99,5.0,16.0,0.3125,11.0,klinefamcollect,2025 Topps Update Baseball US333 Brady Feigl RC - Vintage Stock /99 - Twins,,,caughtupintheskycards,2025 Topps Update Brady Feigl RC “Vintage Stock” #94/99 Twins,,
Adael Amador,Gold 50,4.95,15.74,0.314485,10.79,bassmanray03,2025 Topps Update #US94 Adael Amador Gold Holo Foil #/50,,,bcsportscardshop,Adael Amador RC 2025 Topps Update GOLD Rainbow Holo Rookie Debut Rockies 33/50,,
Miles Mastrobuoni,Blue Rainbow,5.98,19.0,0.314737,13.02,shagscards,2025 Topps Update Miles Mastrobuoni Blue Holo Foil #/150 Seattle Mariners #US313,,,nbtw1aolcom,Miles Mastrobuoni /150 Blue Foil 2025 Topps Update Seattle Mariners FREE SHIP!,,
Gabriel Arias,Green Foil,5.98,18.99,0.314903,13.01,thomadunca71,2025 Topps Update US206 Gabriel Arias Green Rainbow Foil /99 Guardians,,,austinsdugout,2025 Topps Updates Series Gabriel Arias Green Boarder /99,,
Jace Jung,Golden Mirror,88.55,279.99,0.316261,191.44,papasancards,Jace Jung [Golden Mirror] #US93 | 2025 Topps Update | SHORT PRINT,,,brushing23,2025 Topps Update Jace Jung Golden Mirror Auto RC #80 Detroit Tigers Read!!!!!,,
nan,Wood 25,35.0,110.0,0.318182,75.0,bimby-1,2025 Topps Update - US7  Christian Vazquez - Wood Variation /25,,,fanoboston,2025 Topps Update Ramon Laureano Wood Parallel 25/25 Book End,,
Omar Cruz,Green Foil,9.85,30.74,0.320429,20.89,arrc-cards,Omar Cruz RC /99 Green Holo Foil - 2025 Topps Update #US90 San Deigo Padres,,,stephenhood1983,2025 Topps Update Series - Omar Cruz #US90 Green Foil (RC) #’d-10/99 ⚾️ ⚾️ ⚾️,,
Aaron Judge,Night Terrors,3.0,9.28,0.323276,6.28,jts_fieldofcards,2025 Topps Update Series 🕷️Night Terrors🕷️#NT-1 Aaron Judge - NY Yankees,,,kingfisher_collection,Aaron Judge 2025 Topps Update Night Terrors Pink Foil #NT-1 New York Yankees,,
Shohei Ohtani,Holiday Jackolantern,29.0,89.03,0.325733,60.03,youngr21,2025 Topps Update Rising Sons Shohei Ohtani - Roki Sasaki Jack O Lantern LAD,,,westcoastscardsncoins,Shohei Ohtani #US84 Nod and Smile Jack O’Lantern Parallel 2025 Topps Update,,
Kyle Hendricks,Orange Black,1.99,6.06,0.328383,4.07,fritziefeet,Kyle Hendricks 2025 Topps Update Holiday Orange Foil SP #US136 Angels,,,paugau-sports-cards,2025 Topps Update Series - Kyle Hendricks #US136 Orange & Black Foil,,
Graham Pauley,Purple Rainbow,2.99,9.0,0.332222,6.01,mcucinella,2025 Topps Update Series Graham Pauley Purple Holo Foil Parallel #'d 016/250,,,nerdysportsgirl24,2025 Topps Update Graham Pauley Purple Rainbow Foil /250 #US188 Marlins,,
Kumar Rocker,Gold 50,10.0,30.02,0.333111,20.02,jrstewscards,2025 Topps Update Kumar Rocker Rookie Debut #US264 Gold Foil #’d /50 Rangers,,,dollardeals007,2025 Topps Update Baseball Kumar Rocker Rising Rookies Jersey Gold #'D 23/50,,
Blake Treinen,Holiday Jackolantern,1.99,5.94,0.335017,3.95,99sportscards,2025 Topps Update #US133 Blake Treinen Holiday Jack O’Lantern,,,zammos1,BLAKE TREINEN 2025 Topps Update JACK O'LANTERN FOIL PARALLEL #US133 Dodgers,,
Jose Herrera,Independence Day 76,7.0,20.75,0.337349,13.75,younghawaii,2025 Topps Update Jose Herrera - Independence Day /76 Diamondbacks,,,caughtupintheskycards,2025 Topps Update Jose Herrera  Independence Day #36/76 Diamondbacks,,
Tim Tawa,Flagship Real One,13.31,39.0,0.341282,25.69,5handssportscards,Tim Tawa 2025 Topps Update #US236 Real One Rookie Auto,,,alamocandc,TIM TAWA 2025 TOPPS UPDATE SERIES REAL ONE AUTOGRAPHS RC #US236 AUTO,,
Hayden Senger,Red 5,70.0,203.95,0.343221,133.95,caughtupintheskycards,2025 Topps Update Hayden Senger RC “Red Diamonte” #2/5 Mets Hanger Exclusive,,,amcd326,2025 Topps Update Hayden Senger RED Foil On Card Auto 4/5 🔥 + 3 Bonus Cards,,
Justin Verlander,Holiday Jackolantern,3.0,8.71,0.344432,5.71,centerfieldmemories,2025 Topps Update Jack-O'-Lantern Foil Justin Verlander #US100,,,comc_consignment,2025 Topps Update Jack-O'-Lantern Foil Justin Verlander #US100 4d5,,
Nick Pivetta,Diamante,1.99,5.75,0.346087,3.76,jemclau5287,2025 Topps Update Series - Nick Pivetta #US69 Diamante Foil,,,izzycollex,2025 Topps Update NICK PIVETTA Pink Diamante SD PADRES,,
Cade Gibson,Chrome,1.74,4.99,0.348697,3.25,muck1201,2025 Topps Update Series Chrome - #USC181 Cade Gibson (RC) Marlins,,,stewsblus,2025 Topps Update Chrome Cade Gibson Negative Refractor Marlins RC,,
Jacob Wilson,1990,3.5,10.0,0.35,6.5,jja-cards-n-autos,2025 Topps Update Jacob Wilson RC 1990 35th Anniversary Mojo Athletics,,,ultim8buyer1,JACOB WILSON 2025 TOPPS UPDATE SERIES 1990 TOPPS ROOKIE PATCH RC Q5393 ATHLETICS,,
Hayden Birdsong,Golden Mirror,90.49,255.55,0.354099,165.06,gemminttwinsllc,HAYDEN BIRDSONG 2025 TOPPS UPDATE ROOKIE DEBUT GOLDEN MIRROR SP RC US34,,,sirius*,2025 Topps Update Series HAYDEN BIRDSONG Rookie 699 Real Ones Golden Mirror Auto,,
David Morgan,Gold 50,8.5,23.99,0.354314,15.49,goatripper069,2025 Topps Update Series - David Morgan #US348 Gold Rainbow Foil /50 (RC),,,wilsons-64,David Morgan 2025 Topps Update #US348 Gold Foil #/50 Rookie RC Padres,,
Drew Rasmussen,Green Foil,4.3,11.99,0.358632,7.69,jja-cards-n-autos,2025 Topps Update Drew Rasmussen Green /99 Rays,,,power_shot,2025 Topps Update Drew Rasmussen Green Holo Foil /99 Rays,,
Jose Herrera,Gold 50,5.47,14.98,0.365154,9.51,pinandcardpalace,2025 Topps Update #US272 Jose Herrera Gold Rainbow Foil #/50,,,matherz66,2025 Topps Update Jose Herrera Gold Holofoil 1/50 - Diamondbacks - #US272,,
Carson Palmquist,Blue Rainbow,5.25,14.34,0.366109,9.09,ruckersrelics409,2025 Topps Update Carson Palmquist Rookie Blue Holo Foil /150 #US321,,,jusroy85,2025 Topps Update Carson Palmquist Blue RC /150 Rockies,,
Kris Bubic,Chrome,2.0,5.46,0.3663,3.46,s8t-70,Kris Bubic 2025 Topps Update Chrome Raywave Refractor #USC115,,,ringr-6659,Kris Bubic 2025 Topps Update Chrome Raywave Refractor #USC115,,
Chase Shugart,Orange Black,2.25,6.12,0.367647,3.87,garygunner,2025 Topps Update Halloween Orange and Black Foil #US47 Chase Shugart,,,stocks_vault,2025 Topps Update Orange Holiday - #US47 Chase Shugart - RC - Pittsburgh Pirates,,
Zach Agnos,Sandglitter,2.12,5.76,0.368056,3.64,railroadbedcards,2025 Topps Update Series - Zach Agnos #US31 Sandglitter (RC),,,sportscardsforall,2025 Topps Update Series ZACH AGNOS RC  Sandglitter -COLORADO ROCKIES #US31,,
Jon Berti,Purple Rainbow,2.31,6.24,0.370192,3.93,2ndtonone78,2025 Topps Update #US139 JON BERTI Purple Rainbow Foil /250,,,jash112233,2025 Topps Update Jon Berti PURPLE FOIL /250 Chicago Cubs,,
Dustin May,Gold 50,7.79,21.0,0.370952,13.21,dnyikos13,2025 Topps Update Gold Rainbow Foil #US70 Dustin May #29/50 Dodgers Red Sox,,,caughtupintheskycards,2025 Topps Update Dustin May Gold Diamanté #05/50 Dodgers Hanger Exclusive,,
Alex Verdugo,Green Foil,3.34,8.99,0.371524,5.65,flatiron_cards,Alex Verdugo 2025 Topps Update Green Foil /99,,,hahnshobby,ALEX VERDUGO 2025 TOPPS UPDATE SERIES #US4 GREEN RAINBOW FOIL Parallel /99,,
Pete Crow-Armstrong,Holiday Jackolantern,7.98,21.43,0.372375,13.45,dodgersguy42,2025 Topps Update Pete Crow-Armstrong Jack O’ Lantern Foil PCA Has A Day #US164,,,bensonscardhouse,Pete Crow-Armstrong 2025 Topps Update Jack O’ Lantern Foil PCA Has A Day #US164,,
Tylor Megill,Canvas 50,14.95,39.98,0.373937,25.03,kayak-1403,TYLOR MEGILL 2025 Topps Update #US271 Canvas Parallel /50 SP New York Mets,,,skirk1,2025 Topps Update TYLOR MEGILL CANVAS 10/50 #US271 NEW YORK METS,,
Brooks Lee,Blue Rainbow,11.24,30.0,0.374667,18.76,its4salehere90,2025 Topps Update BROOKS LEE RC Debut Blue Foil 121/150 #US243,,,islandstylesportscards,2025 Topps Update #US243 Brooks Lee Blue Rainbow Foil,,
Fraser Ellard,Holiday Jackolantern,1.99,5.3,0.375472,3.31,thehawk8,2025 Topps Update Series - Fraser Ellard #US159 Jack-O'-Lantern Foil (RC),,,estatecardsales,2025 Topps Update #US159 Fraser Ellard RC Jack 'O Lantern Holiday Foil PR/575,,
Gavin Sheets,Orange Black,2.25,5.98,0.376254,3.73,garygunner,2025 Topps Update Halloween Orange and Black Foil #US225 Gavin Sheets,,,gacerulo,2025 Topps Update GAVIN SHEETS Insert HOLIDAY BLACK ORANGE FOIL Parallel Card,,
Will Wilson,Orange 25,11.31,29.94,0.377756,18.63,stone_cold_cards,Will Wilson Rookie 2025 Topps Update #US255 Orange Rainbow Foil /25 (RC),,,danssport,2025 Topps Update Series Will Wilson RC #US255 Orange Holo Foil SP /25 Guardians,,
Kyle Higashioka,Green Foil,2.28,6.0,0.38,3.72,columbusmilsales,Kyle Higashioka 2025 Topps Update Green Foil 50/99 Rangers #US207,,,sammysosafan1974,2025 Topps Update Kyle Higashioka Green Holo Foil #US207 Rangers /99,,
AJ Blubaugh,Purple Rainbow,11.49,29.99,0.383128,18.5,tomscards14,2025 Topps Update #US177 AJ Blubaugh Purple Holo Foil #/250,,,custom_collectibles_of_louisiana,2025 Topps Update AJ Blubaugh Purple Rainbow Foil /250 #US177 RC,,
Dane Myers,Purple Rainbow,3.59,9.36,0.383547,5.77,jemclau5287,2025 Topps Update Dane Myers Purple Foil /250 #US228 Rays,,,tbabaseball45,2025 Topps Update PURPLE Dane Myers /250,,
Jon Berti,Blue Rainbow,2.49,6.49,0.383667,4.0,cf99478,2025 Topps Update Series - Jon Berti #US139 Blue Rainbow Foil /150,,,cascadia-sports-cards,Jon Berti 2025 Topps Update Blue Rainbow Foil #US139 #/150,,
Jack Leiter,Holiday Jackolantern,4.99,13.0,0.383846,8.01,njtreasures0108,2025 Topps Update #US173 Mark Leiter Jr. Holiday Jack O’Lantern,,,nbtw1aolcom,2025 Topps Update Series - Mark Leiter Jr. #US173 Jack-O'-Lantern Foil FREE SHIP,,
Carson McCusker,Purple Rainbow,9.28,23.98,0.386989,14.7,comc_consignment,2025 Topps Update Purple Rainbow Foil /250 Carson McCusker #US279 tw0,,,azdealclub,2025 Topps Update Series Carson McCusker RC Purple Foil /250 Twins #US279,,
Eli White,Gold 50,13.98,35.99,0.388441,22.01,bigbbmann,2025 Topps Update Eli White #US189 Gold Foil Parallel 13/50 Atlanta Braves,,,wilho2415,ELI WHITE 2025 Topps Update Series ⚾️ #US189 GOLD GLITTER #'d 50/50 BOOKEND,,
Danny Jansen,Canvas 50,6.31,16.24,0.388547,9.93,mostarcollectibles,2025 Topps Update Baseball - Danny Jansen Card #US81 (Canvas /50),,,scottssportscards888,2025 Topps Update #US-81 Canvas Parallel Danny Jansen 40/50 Tampa Bay Rays SP,,
