rank,player_name,win_rate,wins,losses,avg_win_margin,pairwise_duels_played,listing_count,avg_listing_price
53,Evan Phillips,0.621118,200,122,4.3223,325,40,9.752
54,Jace Jung,0.62,186,114,17.3435,302,27,21.3878
55,Thomas Harrington,0.616822,198,123,12.3801,328,32,18.2319
56,Fernando Cruz,0.615385,120,75,2.7532,196,20,5.924
57,Christian Yelich / Jackson Chourio,0.609756,75,48,1.1543,126,11,3.2527
58,Iván Herrera,0.608333,73,47,4.0026,122,9,5.1633
59,Ben Williamson,0.607143,170,110,19.7968,282,25,23.372
60,Jonathan India,0.60687,159,103,2.8164,264,29,7.0993
61,J.C. Escarra,0.605263,138,90,4.646,232,23,8.8161
62,Yohel Pozo,0.602694,179,118,5.003,300,37,9.0076
63,Cam Smith,0.601299,463,307,28.7237,778,102,33.7367
64,Trenton Brooks,0.599206,151,101,2.6679,254,33,6.1555
65,Tim Elko,0.598485,158,106,13.6311,269,26,12.6454
66,Jorbit Vivas,0.597701,156,105,11.7515,267,26,14.1015
67,Dylan Crews,0.590498,261,181,14.9998,454,43,53.8344
68,Moisés Ballesteros,0.590476,186,129,11.1705,318,38,14.88
69,Brett Baty,0.582759,169,121,2.1219,295,35,4.8483
70,Brad Lord,0.579767,149,108,2.6246,267,27,4.6852
71,Ryan Loutos,0.57377,140,104,3.193,246,27,5.3107
72,Braydon Fisher,0.572347,178,133,6.5007,313,42,8.6026
73,Tyler Tolbert,0.571429,136,102,3.8162,245,24,6.6217
74,Julio Rodríguez / Randy Arozarena,0.571429,44,33,6.4182,81,10,11.303
75,Alex Vesia,0.570815,133,100,2.2836,242,28,4.7975
76,Ryan Bergert,0.570093,122,92,4.2784,216,22,8.4527
77,Martín Maldonado,0.569536,86,65,1.0357,160,11,3.8445
78,Ramón Laureano,0.568807,62,47,2.0437,109,6,4.7333
79,Jonathan Bermúdez,0.568345,79,60,2.2572,142,10,6.076
80,Logan Henderson,0.567416,202,154,106.3277,364,39,71.6364
81,Eli White,0.566766,191,146,3.3976,345,44,7.2139
82,Zach Agnos,0.566102,167,128,2.7187,296,37,5.7905
83,Chase Meidroth,0.562347,230,179,10.8288,409,36,19.4069
84,Max Kepler,0.561947,127,99,1.467,233,27,6.3078
85,Mick Abel,0.56,294,231,17.3368,533,78,19.8928
86,Matt Svanson,0.559633,122,96,10.7838,220,20,9.8595
87,Braxton Ashcraft,0.556213,94,75,3.9253,170,16,7.0506
88,Tayler Saucedo,0.555556,130,104,3.5786,236,24,6.7667
89,Tsung-Che Cheng,0.554054,164,132,9.6391,301,26,12.5492
90,Lawrence Butler / Brent Rooker,0.554054,123,99,5.2485,225,21,10.6324
91,Travis Jankowski,0.553265,161,130,6.7483,298,28,17.1289
92,Eric Orze,0.553125,177,143,8.772,323,37,11.3862
93,Denzel Clarke,0.553097,125,101,2.813,229,20,5.6805
94,Tim Tawa,0.551587,139,113,10.9084,256,27,13.9656
95,Jack Leiter,0.548822,163,134,6.8828,301,32,9.5441
96,Rafael Devers,0.547101,151,125,7.2785,281,34,7.8688
97,Pete Crow-Armstrong,0.546243,189,157,6.1408,355,38,6.0797
98,Evan Sisk,0.544343,178,149,4.4217,333,33,7.0091
99,Logan Davidson,0.540717,166,141,7.0587,312,33,10.8409
100,Luke Keaschall,0.537402,273,235,18.0534,520,67,18.2773
101,Cody Bellinger,0.53719,195,168,13.1306,367,42,11.1905
102,Logan Evans,0.535032,84,73,7.9745,161,13,10.1346
103,Max Muncy,0.533333,168,147,10.9967,320,35,10.7671
104,Randy Rodríguez,0.533333,40,35,2.8985,79,6,4.0983
105,Fernando Tatis Jr.,0.532995,315,276,7.5278,597,69,11.4054
106,Miles Mastrobuoni,0.53125,136,120,2.7964,261,30,4.944
107,Austin Kitchen,0.530945,163,144,2.5637,308,35,6.2851
108,Drew Avans,0.530303,140,124,13.5788,268,25,13.9016
109,Dane Myers,0.529412,144,128,2.6598,276,31,7.1339
110,Mark Leiter Jr.,0.528689,129,115,1.8648,253,29,4.4138
111,Josh Naylor,0.528497,204,182,4.6848,391,50,7.6256
112,Michael Darrell-Hicks,0.527027,117,105,2.6998,223,25,5.8664
113,Caden Dana,0.52649,159,143,4.8161,304,31,9.3074
114,Luis Matos,0.526154,171,154,9.7961,330,39,12.5977
115,Kyle Higashioka,0.52518,146,132,2.4609,278,31,5.4442
116,Marc Church,0.525157,167,151,2.1442,321,43,5.3284
117,Devin Williams,0.523179,158,144,6.9681,306,35,8.726
118,Jeff Criswell,0.522648,150,137,1.9583,294,35,4.6866
119,David Morgan,0.522491,151,138,5.2284,293,30,8.462
120,Johnathan Rodríguez,0.522388,35,32,0.7114,67,4,4.8975
121,Hayden Birdsong,0.521739,168,154,22.5305,326,33,24.4709
122,Will Wilson,0.520548,152,140,13.9297,296,32,21.4831
123,Max Lazar,0.520216,193,178,1.796,375,40,5.8437
124,Colin Rea,0.519573,146,135,2.1628,281,34,4.5309
125,Travis d'Arnaud,0.518732,180,167,2.4374,353,45,5.9576
126,Jeremiah Estrada,0.518395,155,144,32.2157,310,27,24.7811
127,Dalton Rushing,0.517647,308,287,11.6856,606,70,15.1443
128,Mickey Gasper,0.51735,164,153,3.4375,323,36,11.1336
129,Doug Nikhazy,0.516529,125,117,5.6064,248,22,9.8509
130,James Meeker,0.515901,146,137,4.1164,288,28,8.7061
131,Chase Petty,0.515358,151,142,33.4813,297,26,35.2654
132,Craig Yoho,0.515152,153,144,8.4065,303,32,13.3528
133,Levi Jordan,0.51506,171,161,2.5857,338,41,5.311
134,Carson Kelly,0.514851,156,147,1.5065,307,30,4.7783
135,Zac Veen,0.513746,299,283,9.6296,588,80,11.322
136,Armando Alvarez,0.513423,153,145,8.5143,308,41,11.0417
137,Bailey Horn,0.512635,142,135,1.5787,283,31,4.6494
138,Victor MESA JR.,0.511848,108,103,4.1659,214,21,7.7895
139,Michel Otañez,0.510204,75,72,3.9351,152,9,6.8089
140,Jake Burger,0.510135,151,145,7.2615,304,36,6.6147
141,Ryan Zeferjahn,0.509494,161,155,3.0335,322,39,5.0433
142,Kody Clemens,0.508403,121,117,1.3021,246,23,3.7091
143,Nic Enright,0.508091,157,152,4.3872,313,31,7.7781
144,Carlos Estévez,0.506173,41,40,0.9371,81,4,3.89
145,Bryan King,0.501805,139,138,1.7559,280,36,4.2544
146,Ryan Walker,0.501779,141,140,3.645,293,30,6.1967
147,Chandler Simpson,0.50173,290,288,22.6409,594,82,29.9066
148,Francisco Lindor,0.500956,262,261,3.8774,537,70,4.939
149,JoJo Romero,0.5,170,170,2.5596,347,43,5.4274
150,Matt Gorski,0.5,135,135,4.2015,279,31,5.8961
151,Elvis Alvarado,0.498258,143,144,1.5175,292,41,4.6646
152,Blake Treinen,0.498258,143,144,7.817,292,33,9.4833
153,Edgar Quero,0.497227,269,272,15.6557,549,84,16.7781
154,Dylan Carlson,0.496479,141,143,1.5958,292,37,4.1378
155,José Fermin,0.493103,143,147,4.3633,293,28,9.5871
156,Eric Wagaman,0.492701,135,139,1.9249,280,24,6.6721
157,Nolan Jones,0.490741,159,165,1.5622,330,43,5.7856
158,Jeff Hoffman,0.490421,128,133,4.3636,266,37,7.3768
159,Rhett Lowder,0.488281,125,131,6.2972,262,22,9.8705
160,Tyler Owens,0.487973,142,149,1.8616,300,29,4.4059
161,Justin Sterner,0.487179,171,180,2.7596,353,37,6.8959
162,Hayden Senger,0.487106,170,179,7.724,354,37,14.0173
163,Ji Hwan Bae,0.486667,146,154,3.326,304,35,5.9843
164,Hunter Bigge,0.485119,163,173,1.91,339,38,5.4166
165,Wilmer Flores,0.485106,114,121,2.3994,237,24,5.7083
166,Romy Gonzalez,0.484536,94,100,3.6648,197,19,7.2795
167,Maverick Handley,0.481928,160,172,4.6919,336,34,9.2659
168,Alexander Canario,0.481707,158,170,2.1851,333,37,6.2889
169,Yoán Moncada,0.48062,62,67,1.3932,130,10,4.144
170,Cole Henry,0.480144,133,144,10.0272,282,33,5.7691
171,Rhylan Thomas,0.477124,146,160,2.7434,309,31,8.4665
172,Bryan De La Cruz,0.476543,193,212,2.0704,415,55,5.8207
173,Ryan Miller,0.476038,149,164,2.0154,314,43,5.1523
174,Kyle Hendricks,0.475362,164,181,2.9327,352,39,7.6497
175,Jack O'Loughlin,0.473251,115,128,1.9754,252,32,4.58
176,Garrett McDaniels,0.472656,121,135,2.4637,264,32,5.0791
177,Tyler Mahle,0.470588,136,153,1.7285,295,40,4.6692
178,Jared Triolo,0.469388,138,156,3.9338,296,39,7.3674
179,Evan Kravetz,0.468531,134,152,2.7884,295,34,5.5512
180,Jeffrey Springs,0.468085,110,125,1.6795,238,31,4.4065
181,Jose Trevino,0.467925,124,141,2.2928,272,27,5.2237
182,Coby Mayo,0.466993,191,218,6.351,415,45,7.3269
183,Justin Hagenman,0.466667,133,152,1.3392,288,29,4.0414
184,Rafael Marchán,0.466667,63,72,0.9103,138,9,3.1367
185,Christian Koss,0.466418,125,143,6.7223,275,27,9.6933
186,Grant Koch,0.46519,147,169,8.9593,320,41,12.1839
187,Robert Garcia,0.464968,146,168,8.0654,321,40,10.0395
188,Ryan Gusto,0.46,161,189,4.6272,359,33,5.8303
189,Austin Wynns,0.459259,124,146,28.266,274,31,14.2129
190,Agustín Ramírez,0.458333,132,156,1.7442,294,40,4.401
191,Kyle Hart,0.456067,109,130,1.2788,245,29,3.8821
192,Thomas Saggese,0.454248,139,167,2.867,315,31,5.8368
193,Carlos Santana,0.454128,99,119,4.5678,228,22,7.0218
194,Michael Petersen,0.453757,157,189,1.4903,351,45,4.5667
195,Luisangel Acuña,0.452555,124,150,7.3615,280,23,4.2122
196,Sauryn Lao,0.452381,133,161,3.4328,296,28,8.6918
197,Adrian Del Castillo,0.452282,109,132,4.0628,243,22,9.6114
198,Alex Verdugo,0.451253,162,197,3.0973,364,42,6.3079
199,Blaine Crim,0.451163,97,118,4.4812,221,22,6.6818
200,Max Meyer,0.450593,114,139,3.2413,257,26,6.8038
201,Zack Littell,0.450479,141,172,4.6379,323,42,8.1876
202,Gabriel Arias,0.450151,149,182,4.4565,342,43,6.087
203,Gio Urshela,0.449477,129,158,2.7819,288,32,4.9325
204,Mike Vasil,0.448413,113,139,3.4574,256,26,5.8138
205,Zak Kent,0.447699,107,132,10.0164,243,26,17.6504
206,Logan Allen,0.445455,98,122,1.8509,226,22,4.6859
207,Michael McGreevy,0.444767,153,191,10.7439,351,35,13.16
208,Luis Torrens,0.443787,150,188,3.4933,349,39,4.9992
209,Tyler Freeman,0.441926,156,197,1.1382,359,44,3.5986
210,Omar Cruz,0.441734,163,206,8.8826,374,38,13.6366
211,Tomoyuki Sugano,0.438679,186,238,7.8334,430,52,7.6725
212,Bryan Sammons,0.4377,137,176,1.8147,317,36,6.1622
213,Brandon Young,0.43695,149,192,4.4129,347,35,5.2317
214,Ryan Johnson,0.435714,122,158,6.7912,284,27,12.437
215,Mickey Moniak,0.435583,142,184,3.5669,335,42,7.2324
216,Brady Singer,0.435435,145,188,3.5967,341,43,5.9577
217,Kevin Pillar,0.433544,137,179,1.0487,325,43,3.8521
218,Oliver Dunn,0.433526,150,196,6.5956,348,49,8.9249
219,Luken Baker,0.433243,159,208,1.9744,379,42,4.666
220,Fraser Ellard,0.431373,132,174,1.243,314,38,4.3111
221,Robert Hassell III,0.431085,147,194,4.8015,345,45,5.9011
222,Jose Herrera,0.429851,144,191,3.2418,338,46,6.2885
223,Ronny Simon,0.428571,141,188,4.4052,338,36,6.9942
224,Juan Mejia,0.427885,89,119,4.022,213,21,5.019
225,Andrés Giménez,0.427807,80,107,2.6567,190,15,20.3967
226,Davis Martin,0.426117,124,167,2.3971,299,41,4.7466
227,Eric Haase,0.425876,158,213,4.2996,379,41,6.6273
228,Charlie Morton,0.423841,128,174,5.5873,306,30,9.0983
229,Gerson Garabito,0.422794,115,157,1.3183,276,38,4.1989
230,Paxton Schultz,0.422222,76,104,3.5954,187,19,6.1147
231,Graham Pauley,0.421538,137,188,2.0079,333,41,4.0359
232,Tommy Pham,0.420245,137,189,15.6897,332,31,11.6571
233,Mike Tauchman,0.419825,144,199,2.6292,346,39,5.9454
234,Justin Turner,0.418182,115,160,3.2843,280,28,5.7189
235,Tylor Megill,0.41806,125,174,2.1908,305,31,5.7158
236,Joc Pederson,0.417722,99,138,1.8307,243,28,4.8914
237,Eric Yang,0.416431,147,206,3.8516,359,37,7.9135
238,Derek Hill,0.415663,138,194,3.3356,338,35,6.8903
239,Willie MacIver,0.415385,108,152,3.2106,266,26,6.96
240,Santiago Espinal,0.414573,165,233,2.4265,413,49,5.2647
241,Jon Berti,0.414557,131,185,3.5789,320,35,8.6383
242,Nick Allen,0.413598,146,207,3.6162,358,44,6.4493
243,CJ Alexander,0.411932,145,207,2.4535,362,36,9.3
244,Matthew Lugo,0.410256,112,161,1.5541,280,29,5.6983
245,Nick Pivetta,0.409091,126,182,1.7056,316,36,3.77
246,Ryan Pressly,0.408,153,222,1.7439,378,46,10.2989
247,Joe Boyle,0.407507,152,221,2.003,383,52,5.3729
248,Raymond Burgos,0.40678,120,175,2.8841,299,31,6.0968
249,Justin Verlander,0.406551,211,308,9.0055,525,66,8.2614
250,Dustin May,0.405204,109,160,1.9049,274,32,5.1381
251,Tyler Callihan,0.405063,96,141,4.8415,247,22,6.8282
252,Gage Workman,0.404834,134,197,15.504,336,37,18.0516
253,Gavin Sheets,0.404762,136,200,2.7613,341,44,5.2841
254,Lake Bachar,0.403846,147,217,5.5686,373,47,6.6668
255,Erik Sabrowski,0.40327,148,219,1.8722,374,45,4.4769
256,Luis Contreras,0.398892,144,217,2.0112,367,41,13.33
257,Nathan Wiles,0.39781,109,165,7.1806,280,33,6.9167
258,Luis Mey,0.39781,109,165,2.3886,284,29,6.2307
259,Carson Palmquist,0.397638,101,153,8.6719,264,23,9.9665
260,Clay Holmes,0.397213,114,173,5.5469,293,31,8.6884
261,Andrew Heaney,0.396923,129,196,2.8679,331,41,5.9017
262,Yaramil Hiraldo,0.39375,126,194,3.3139,329,32,6.8237
263,Connor Joe,0.393728,113,174,1.9863,290,31,5.0819
264,Zebby Matthews,0.393443,120,185,18.7957,318,33,12.4488
265,Steven Matz,0.391892,145,225,4.655,384,49,6.9929
266,Matthew Liberatore,0.391753,114,177,2.7147,299,33,7.5358
267,Rowdy Tellez,0.391473,101,157,5.9331,260,31,11.7206
268,Kade Strowd,0.386861,106,168,2.154,282,29,7.6652
269,Chase Dollander,0.38664,191,303,4.9753,501,78,7.2964
270,Manuel Margot,0.385965,88,140,2.4482,231,24,7.1921
271,Kyren Paris,0.384892,107,171,1.0214,280,37,3.3519
272,Brady Feigl,0.384615,140,224,4.4033,371,42,7.6498
273,Michael Taylor,0.384354,113,181,1.6666,304,41,3.9427
274,Tanner Gordon,0.380952,128,208,1.457,343,39,4.9203
275,Juan Morillo,0.380952,128,208,4.0037,345,33,6.4945
276,Ty France,0.380665,126,205,6.2816,338,42,6.8831
277,Daniel Robert,0.37987,117,191,1.3191,310,39,4.9159
278,Tirso Ornelas,0.372881,88,148,7.549,244,27,11.1548
279,Griffin Canning,0.372414,108,182,6.8406,293,33,9.2233
280,Braxton Fulford,0.372263,102,172,3.8052,279,32,5.9519
281,Ryan Rolison,0.368821,97,166,3.0612,265,26,5.69
282,Luarbert Arias,0.368687,146,250,4.6926,401,50,6.6204
283,Landen Roupp,0.36859,115,197,1.1986,316,41,4.3102
284,Matt Mervis,0.368272,130,223,1.8728,356,43,5.4491
285,Chris Paddack,0.366906,102,176,0.9437,281,28,3.505
286,Gunnar Hoglund,0.365385,76,132,2.4143,213,24,5.5992
287,Mitch Spence,0.363184,146,256,4.4892,409,50,7.4866
288,Michael Soroka,0.362745,111,195,1.9368,311,30,5.6353
289,Adam Frazier,0.361111,91,161,3.9408,256,23,9.7226
290,Luis Urías,0.358621,52,93,2.0079,145,8,5.5137
291,Chase Lee,0.357843,73,131,4.6075,207,19,8.5453
292,Blade Tidwell,0.357143,90,162,5.1403,257,23,7.3813
293,Liam Hicks,0.356913,111,200,3.7042,326,33,8.4545
294,Cade Gibson,0.355731,90,163,3.9469,254,29,6.9872
295,Colton Gordon,0.352941,102,187,3.0349,301,29,9.0003
296,Donovan Solano,0.352078,144,265,3.1373,420,50,6.3228
297,Tyler Heineman,0.351974,107,197,5.6977,311,34,5.84
298,Walker Buehler,0.350515,68,126,2.7624,202,20,4.1775
299,Myles Straw,0.35,84,156,3.4057,244,32,4.7478
300,Nathaniel Lowe,0.346995,127,239,35.1157,370,42,18.9407
301,Kris Bubic,0.345609,122,231,2.5576,367,39,4.5564
302,Antonio Senzatela,0.345506,123,233,1.0524,365,47,4.4909
303,Parker Dunshee,0.34375,132,252,3.7954,397,49,8.0957
304,Jamie Westbrook,0.343407,125,239,1.5639,367,32,5.7069
305,Paul DeJong,0.341085,132,255,1.9542,394,55,5.6682
306,Drew Rasmussen,0.340299,114,221,1.3961,338,41,4.071
307,Connor Thomas,0.338583,86,168,2.9463,257,26,7.6523
308,Luis Guerrero,0.337979,97,190,2.2908,287,35,5.6486
309,Matt Thaiss,0.337629,131,257,1.8505,396,44,4.3064
310,Caleb Freeman,0.336879,95,187,1.9577,286,31,5.8394
311,Michael Lorenzen,0.334988,135,268,2.0367,411,57,6.3589
312,Isaac Paredes,0.334347,110,219,4.7812,333,32,8.9741
313,Christian Vázquez,0.329545,58,118,0.6229,180,18,3.4117
314,Curtis Mead,0.320261,147,312,3.2386,464,63,5.7156
315,Alan Roden,0.315789,108,234,4.7642,350,36,7.1933
316,Carlos Duran,0.315126,75,163,5.0804,244,28,7.6029
317,Dairon Blanco,0.310526,118,262,2.5046,385,44,5.2668
318,Jose Iglesias,0.304029,83,190,3.5513,280,30,5.2837
319,Jason Heyward,0.303514,95,218,3.1873,318,31,5.2781
320,Thairo Estrada,0.298387,111,261,1.5745,381,43,4.9556
321,Danny Jansen,0.277108,92,240,2.8777,336,34,8.4679
322,Victor Caratini,0.263598,63,176,0.5908,244,22,4.49
323,Cal Quantrill,0.261745,78,220,1.1137,301,32,3.2138
324,Jorge Soler,0.256966,83,240,1.9252,333,35,4.5097
325,Orlando Ribalta,0.251445,87,259,1.1705,358,43,4.7472
326,Adael Amador,0.246445,52,159,2.961,214,22,5.6032
327,Camilo Doval,0.224215,50,173,0.9024,225,21,3.4486
328,Amed Rosario,0.197183,42,171,1.1107,225,21,5.2219
