player_name_key,player_name_display,set_count,total_cards,2024_bowman,2024_bowman_chrome,2024_bowman_draft,2024_topps_chrome,2024_topps_chrome_update,2024_topps_series1,2024_topps_series2,2024_topps_update,2025_bowman,2025_bowman_chrome,2025_bowman_draft,2025_topps_chrome,2025_topps_chrome_update,2025_topps_series1,2025_topps_series2,2025_topps_update,2026_topps_heritage,2026_topps_series1
adam duvall,Adam Duvall,4,4,,,,,1,,1,1,,,,,,,1,,,
adam frazier,Adam Frazier,4,4,,,,,,,,1,,,,,,,,1,1,1
adam kloffenstein,Adam Kloffenstein,3,4,,,,,,,,,,,,2,1,,1,,,
adam mazur,Adam Mazur,4,7,,,,,,,,,,,,2,3,1,,1,,
adam ottavino,Adam Ottavino,2,2,,,,,1,,,1,,,,,,,,,,
adam serwinowski,Adam Serwinowski,1,2,,2,,,,,,,,,,,,,,,,
adames,Adames,1,1,,,,,,,,,,,,1,,,,,,
adbert alzolay,Adbert Alzolay,1,1,,,,,,1,,,,,,,,,,,,
addison barger,Addison Barger,4,8,,,,,3,,,2,,,,,,,,,2,1
adler cecil,Adler Cecil,1,1,,1,,,,,,,,,,,,,,,,
adley rutschman,Adley Rutschman,16,121,1,3,,10,7,24,13,22,1,1,,7,2,2,16,5,2,5
adolfo sanchez,Adolfo Sanchez,2,6,,4,2,,,,,,,,,,,,,,,
adolis garcia,Adolis Garcia,1,0,,,,,,,,,,,,,,,,,,
adolis garcía,Adolis García,14,32,1,2,,1,1,14,1,1,,,,2,1,1,2,1,2,2
adonys guzman,Adonys Guzman,1,3,,,,,,,,,,,3,,,,,,,
adrian beltré,Adrian Beltré,5,18,,,,,,,,,,,,,1,2,4,6,,5
adrian de leon,Adrian De Leon,1,1,,1,,,,,,,,,,,,,,,,
adrian del castillo,Adrian Del Castillo,5,11,,,,,,,,,1,,,3,4,,1,2,,
adrian houser,Adrian Houser,2,2,,,,,1,,,1,,,,,,,,,,
adrian morejon,Adrian Morejon,1,1,,,,,,,,,,,,,,,,,,1
adrian santana,Adrian Santana,1,2,2,,,,,,,,,,,,,,,,,
adriel radney,Adriel Radney,2,8,,5,3,,,,,,,,,,,,,,,
adrián beltré,Adrián Beltré,6,11,,,,1,,2,3,3,,,,,,1,,1,,
adrián gonzález,Adrián González,1,1,,,,,,,,,,,,,1,,,,,
adrían beltré,Adrían Beltré,2,2,,,,,,,,,,,,,,1,1,,,
adrían gonzález,Adrían González,1,2,,,,,,,,,,,,,,,,2,,
agustin ramirez,Agustin Ramirez,4,7,3,,2,,,,,,1,,,,1,,,,,
agustín ramírez,Agustín Ramírez,5,27,,,,,,,,,,1,,,11,,,9,3,3
aidan major,Aidan Major,1,2,,,2,,,,,,,,,,,,,,,
aidan miller,Aidan Miller,5,27,13,3,5,,,,,,4,,2,,,,,,,
aidan smith,Aidan Smith,3,7,3,,2,,,,,,2,,,,,,,,,
aidan west,Aidan West,1,3,,,,,,,,,,,3,,,,,,,
aiden may,Aiden May,1,3,,,3,,,,,,,,,,,,,,,
aj blubaugh,AJ Blubaugh,2,6,,,,,,,,,,,,,3,,,3,,
aj russell,AJ Russell,1,3,,,,,,,,,,,3,,,,,,,
aj smith-shawver,AJ Smith-Shawver,8,22,1,1,,2,3,5,1,6,,,,,,,3,,,
akil baddoo,Akil Baddoo,1,1,,,,,,,1,,,,,,,,,,,
al kaline,Al Kaline,3,3,,,,,,1,1,1,,,,,,,,,,
al woods,Al Woods,1,1,,,,,,,,,,,,,,,,,1,
alan rangel,Alan Rangel,1,1,,,,,,,,,,,,,,,,,1,
alan roden,Alan Roden,2,6,,,,,,,,,,,,,3,,,3,,
alan trammell,Alan Trammell,4,5,,,,,,,,,,,,1,1,,,1,,2
alan trejo,Alan Trejo,1,1,,,,,,,,1,,,,,,,,,,
albert pujols,Albert Pujols,13,44,,,,1,1,3,4,6,1,1,,2,2,4,8,4,,7
alberto rios,Alberto Rios,1,2,2,,,,,,,,,,,,,,,,,
aldalay kolokie,Aldalay Kolokie,1,2,,2,,,,,,,,,,,,,,,,
alec bohm,Alec Bohm,8,20,,,,,1,1,1,4,,,,1,,,7,4,1,
alec burleson,Alec Burleson,7,10,,,,,,,1,1,,,,1,,,3,2,1,1
alec marsh,Alec Marsh,4,5,,,,1,1,2,,,,,,,,,1,,,
aledmys díaz,Aledmys Díaz,1,1,,,,,,,1,,,,,,,,,,,
alejandro kirk,Alejandro Kirk,6,10,,,,,,,1,,,,,,1,,2,2,1,3
alejandro osuna,Alejandro Osuna,2,4,,,,,,,,,,,,,3,,,1,,
alejandro rosario,Alejandro Rosario,2,4,,,,,,,,,3,1,,,,,,,,
alek jacob,Alek Jacob,3,5,,,,1,2,,,2,,,,,,,,,,
alek manoah,Alek Manoah,2,2,,,,,,,1,1,,,,,,,,,,
alek thomas,Alek Thomas,2,6,,,,,,5,,,,,,,,,1,,,
alessander de la cruz,Alessander De La Cruz,1,2,,,,,,,,,,2,,,,,,,,
alex bregman,Alex Bregman,12,55,,,,4,1,9,12,3,,1,,1,4,,10,5,2,3
alex call,Alex Call,2,2,,,,,,,1,,,,,,,,1,,,
alex cobb,Alex Cobb,3,3,,,,,,1,1,,,,,,,,1,,,
alex freeland,Alex Freeland,3,11,,,,,,,,,1,,,,,,,,2,8
alex gordon,Alex Gordon,1,1,,,,,,,,,,,,,,,,1,,
alex kirilloff,Alex Kirilloff,2,3,,,,1,,2,,,,,,,,,,,,
alex mooney,Alex Mooney,1,3,,,,,,,,,3,,,,,,,,,
alex ramírez,Alex Ramírez,1,1,1,,,,,,,,,,,,,,,,,
alex rodriguez,Alex Rodriguez,7,17,,,,,,1,2,3,,,,2,,,6,2,,1
alex speas,Alex Speas,3,4,,,,1,2,,,1,,,,,,,,,,
alex verdugo,Alex Verdugo,7,10,1,,,1,2,1,,1,,,,,,,3,1,,
alex vesia,Alex Vesia,2,2,,,,,,,,1,,,,,,,,1,,
alex wood,Alex Wood,1,1,,,,,,,,1,,,,,,,,,,
alexander albertus,Alexander Albertus,2,4,,2,2,,,,,,,,,,,,,,,
alexander canario,Alexander Canario,8,15,2,2,,3,2,,3,1,,,,,,,1,1,,
alexis díaz,Alexis Díaz,2,3,,,,,,2,,,,,,,,,1,,,
alfonsin rosario,Alfonsin Rosario,1,1,1,,,,,,,,,,,,,,,,,
alfonso soriano,Alfonso Soriano,1,1,,,,,,,,,,,,,,,1,,,
alfredo alcantara,Alfredo Alcantara,1,1,,1,,,,,,,,,,,,,,,,
alfredo duno,Alfredo Duno,2,6,4,,,,,,,,,,2,,,,,,,
alika williams,Alika Williams,4,6,,,,2,1,1,2,,,,,,,,,,,
alirio ferrebus,Alirio Ferrebus,1,2,,,,,,,,,,2,,,,,,,,
allan castro,Allan Castro,1,3,3,,,,,,,,,,,,,,,,,
allan winans,Allan Winans,3,5,,,,2,1,,2,,,,,,,,,,,
alysha newman,Alysha Newman,1,1,,,,,,,,,,,,,,,,,,1
alyssa nakken,Alyssa Nakken,1,1,,,,,,,1,,,,,,,,,,,
amed rosario,Amed Rosario,4,4,,,,,1,,,1,,,,,1,,,1,,
amos willingham,Amos Willingham,2,2,,,,1,1,,,,,,,,,,,,,
anderson brito,Anderson Brito,1,2,,,,,,,,,2,,,,,,,,,
andre dawson,Andre Dawson,7,21,,,,2,,1,4,,,,,,,,4,3,4,3
andre granillo,Andre Granillo,1,1,,,,,,,,,,,,,,,,,1,
andre lipcius,Andre Lipcius,4,6,,,,2,1,,1,2,,,,,,,,,,
andre pallante,Andre Pallante,1,1,,,,,,,,,,,,,,,1,,,
andres arias,Andres Arias,1,2,,2,,,,,,,,,,,,,,,,
andres valor,Andres Valor,1,2,,2,,,,,,,,,,,,,,,,
andrew abbott,Andrew Abbott,10,23,1,1,,3,3,5,1,3,,,,,,,,2,2,2
andrew alvarez,Andrew Alvarez,1,1,,,,,,,,,,,,,,,,,1,
andrew benintendi,Andrew Benintendi,8,10,,,,1,,1,1,1,,,,1,,,2,1,,2
andrew chafin,Andrew Chafin,1,1,,,,,,,,1,,,,,,,,,,
andrew heaney,Andrew Heaney,2,2,,,,,,,1,,,,,,,,,1,,
andrew hoffman,Andrew Hoffman,1,1,,,,,,,,,,,,,,,,,1,
andrew knizner,Andrew Knizner,1,1,,,,,,,,1,,,,,,,,,,
andrew mccutchen,Andrew McCutchen,12,45,,,,1,2,6,5,1,,1,,,2,2,4,8,4,9
andrew morris,Andrew Morris,1,3,,,,,,,,,3,,,,,,,,,
andrew painter,Andrew Painter,3,6,1,,,,,,,,4,1,,,,,,,,
andrew romine,Andrew Romine,1,2,,,,,,,,,,,,,,,2,,,
andrew saalfrank,Andrew Saalfrank,3,3,,,,1,1,,1,,,,,,,,,,,
andrew salas,Andrew Salas,2,10,,,,,,,,,,5,5,,,,,,,
andrew vaughn,Andrew Vaughn,4,4,,,,,,1,,,,,,1,,,,,1,1
andrew walters,Andrew Walters,3,4,,1,,,,,,,,,,,2,,1,,,
andruw jones,Andruw Jones,7,16,,,,,,1,3,1,,,,1,,,5,1,,4
andruw monasterio,Andruw Monasterio,2,2,,,,,,1,,,,,,,,,1,,,
andry lara,Andry Lara,2,3,,,,,,,,,,,,,,,,,1,2
andrés chaparro,Andrés Chaparro,2,5,,,,,,,,,,,,3,2,,,,,
andrés giménez,Andrés Giménez,8,12,,,,1,,1,1,1,,,,1,1,,5,1,,
andrés muñoz,Andrés Muñoz,5,5,,,,,,,1,1,,,,,1,,,1,,1
andy ibáñez,Andy Ibáñez,2,2,,,,,,1,,,,,,,,,1,,,
andy pages,Andy Pages,5,26,,,,,11,,,6,1,,,,,,7,,1,
andy pettitte,Andy Pettitte,7,13,,,,1,,1,5,,,,,1,,,2,2,,1
andy van slyke,Andy Van Slyke,2,2,,,,,,,,,,,,,,,1,,,1
aneudis mordán,Aneudis Mordán,1,1,1,,,,,,,,,,,,,,,,,
angel cepeda,Angel Cepeda,1,1,,,,,,,,,,1,,,,,,,,
angel chivilli,Angel Chivilli,3,3,,,,,,,,,,,,1,1,,1,,,
angel felipe,Angel Felipe,2,2,,,,1,1,,,,,,,,,,,,,
angel felipe rc,Angel Felipe RC,1,1,,,,,,,,1,,,,,,,,,,
angel feliz,Angel Feliz,1,2,,2,,,,,,,,,,,,,,,,
angel genao,Angel Genao,1,1,,,,,,,,,1,,,,,,,,,
angel martínez,Angel Martínez,8,17,,,,,,,,,,1,,4,3,2,4,1,1,1
anibal salas,Anibal Salas,1,1,,1,,,,,,,,,,,,,,,,
anthony banda,Anthony Banda,1,1,,,,,,,,,,,,,,,,1,,
anthony baptist,Anthony Baptist,1,3,3,,,,,,,,,,,,,,,,,
anthony eyanson,Anthony Eyanson,1,4,,,,,,,,,,,4,,,,,,,
anthony huezo,Anthony Huezo,1,3,3,,,,,,,,,,,,,,,,,
anthony maldonado,Anthony Maldonado,1,1,,,,,1,,,,,,,,,,,,,
anthony maldonado rc,Anthony Maldonado RC,1,1,,,,,,,,1,,,,,,,,,,
anthony molina,Anthony Molina,1,1,,,,,1,,,,,,,,,,,,,
anthony molina rc,Anthony Molina RC,1,1,,,,,,,,1,,,,,,,,,,
anthony rendon,Anthony Rendon,2,3,,,,1,,,2,,,,,,,,,,,
anthony rizzo,Anthony Rizzo,5,23,,,,1,,9,5,5,,,,,,,3,,,
anthony santander,Anthony Santander,5,5,,,,,,1,1,1,,,,1,,,1,,,
anthony scull,Anthony Scull,1,3,3,,,,,,,,,,,,,,,,,
anthony seigler,Anthony Seigler,2,4,,,,,,,,,,,,,,,,,1,3
anthony solometo,Anthony Solometo,1,1,1,,,,,,,,,,,,,,,,,
anthony veneziano,Anthony Veneziano,4,4,,,,1,1,,1,1,,,,,,,,,,
anthony volpe,Anthony Volpe,13,53,1,2,,6,6,5,4,5,,,,4,2,,9,2,2,5
antonio anderson,Antonio Anderson,1,3,3,,,,,,,,,,,,,,,,,
antonio jimenez,Antonio Jimenez,1,3,,,,,,,,,,,3,,,,,,,
antonio senzatela,Antonio Senzatela,1,1,,,,,,,,,,,,,,,,1,,
anyelo marquez,Anyelo Marquez,1,2,,,,,,,,,,2,,,,,,,,
aramis ramirez,Aramis Ramirez,2,3,,,,,,,,1,,,,,,,,2,,
ariel armas,Ariel Armas,1,3,,,3,,,,,,,,,,,,,,,
ariel castro,Ariel Castro,1,2,,2,,,,,,,,,,,,,,,,
arizona diamondbacks,Arizona Diamondbacks,3,3,,,,,,,1,,,,,,,,1,,,1
arjun nimmala,Arjun Nimmala,5,29,10,9,4,,,,,,,3,3,,,,,,,
armando alvarez,Armando Alvarez,3,3,,,,,,,,,,,,1,1,,,1,,
aroldis chapman,Aroldis Chapman,7,14,,,,,1,5,,1,,,,,2,,,2,1,2
aron estrada,Aron Estrada,1,3,,,,,,,,,3,,,,,,,,,
aroon escobar,Aroon Escobar,2,5,,,,,,,,,3,,2,,,,,,,
asbel gonzalez,Asbel Gonzalez,2,3,,,,,,,,,2,1,,,,,,,,
ashly andujar,Ashly Andujar,1,3,,,,,,,,,3,,,,,,,,,
athletics,Athletics,3,4,,,,,,,,,,2,,,,,1,,,1
atlanta braves,Atlanta Braves,2,3,,,,,,1,,,,2,,,,,,,,
austin barnes,Austin Barnes,2,2,,,,,,,1,,,,,,,,1,,,
austin gomber,Austin Gomber,2,2,,,,,,1,,,,,,,,,1,,,
austin hays,Austin Hays,8,11,,,,1,1,2,3,,,,,,1,,1,1,1,
austin hedges,Austin Hedges,3,3,,,,,1,,,1,,,,,,,1,,,
austin kitchen,Austin Kitchen,3,3,,,,,,,,,,,,1,1,,,1,,
austin martin,Austin Martin,4,14,,,,,6,,,6,,,,,,,1,,1,
austin riley,Austin Riley,14,66,1,1,,6,2,4,18,7,1,,,3,3,,9,5,2,4
austin shenton,Austin Shenton,2,6,,,,,3,,,3,,,,,,,,,,
austin slater,Austin Slater,2,2,,,,,,,,1,,,,,1,,,,,
austin wells,Austin Wells,12,43,3,2,,3,4,2,6,7,,,,2,2,,8,1,,3
austin wynns,Austin Wynns,1,1,,,,,,,,,,,,,,,,1,,
avisaíl garcía,Avisaíl García,1,1,,,,,,,1,,,,,,,,,,,
ayden johnson,Ayden Johnson,1,2,,,,,,,,,,2,,,,,,,,
babe ruth,Babe Ruth,8,19,,,,,,1,1,5,,,,1,,3,4,1,,3
bailey falter,Bailey Falter,2,2,,,,,,,,1,,,,,,,1,,,
bailey horn,Bailey Horn,3,3,,,,,,,,,,,,1,1,,,1,,
bailey ober,Bailey Ober,2,2,,,,,,1,,,,,,,,,,,,1
bairon ledesma,Bairon Ledesma,1,1,,1,,,,,,,,,,,,,,,,
baldwin,Baldwin,1,1,,,,,,,,,,,,,,,,1,,
baltimore orioles,Baltimore Orioles,2,2,,,,,,1,,,,1,,,,,,,,
barrett kent,Barrett Kent,1,1,1,,,,,,,,,,,,,,,,,
barry bonds,Barry Bonds,5,14,,,,,,,,,,,,4,1,1,3,,,5
barry larkin,Barry Larkin,9,22,,,,,1,5,2,2,,,,1,,2,2,1,,6
barry zito,Barry Zito,3,4,,,,,,,1,,,,,,,,,2,,1
bartolo colon,Bartolo Colon,1,1,,,,,,,1,,,,,,,,,,,
bellinger,Bellinger,1,1,,,,,,,,,,,,,,,,1,,
ben brown,Ben Brown,3,13,,,,,4,,,7,,,,,,,2,,,
ben casparius,Ben Casparius,3,5,,,,,,,,,,,,1,1,,3,,,
ben hess,Ben Hess,1,3,,,3,,,,,,,,,,,,,,,
ben jacobs,Ben Jacobs,1,2,,,,,,,,,,,2,,,,,,,
ben joyce,Ben Joyce,2,2,,,,,,,1,,,,,,,,1,,,
ben lively,Ben Lively,2,2,,,,,,,,,,,,,,,1,,,1
ben rice,Ben Rice,9,37,,1,,,,,,,1,,,5,8,3,5,9,3,2
ben rortvedt,Ben Rortvedt,1,1,,,,,,,,1,,,,,,,,,,
ben williamson,Ben Williamson,4,12,3,,,,,,,,,,,,3,,,5,,1
bench,Bench,2,2,,,,,,,,,,,,,,,,1,,1
bennett lee,Bennett Lee,1,1,,1,,,,,,,,,,,,,,,,
benny montgomery,Benny Montgomery,1,2,,2,,,,,,,,,,,,,,,,
bernard moon,Bernard Moon,1,1,,1,,,,,,,,,,,,,,,,
bernie williams,Bernie Williams,6,12,,,,,,1,4,,,,,,1,,2,2,,2
bert blyleven,Bert Blyleven,5,5,,,,,,,,,,,,1,1,,1,,1,1
bert campaneris,Bert Campaneris,1,2,,,,,,,,,,,,,,,2,,,
betts,Betts,1,1,,,,,,,,,,,,,,,,,,1
bibee,Bibee,1,1,,,,,,,,,,,,,,,1,,,
big sean,Big Sean,1,3,,,,,,,,,,,,,,,,3,,
bill dickey,Bill Dickey,2,2,,,,,,1,1,,,,,,,,,,,
bill mazeroski,Bill Mazeroski,2,3,,,,,,,,2,,,,1,,,,,,
bill ripken,Bill Ripken,1,1,,,,,1,,,,,,,,,,,,,
billy amick,Billy Amick,1,3,,,3,,,,,,,,,,,,,,,
billy carlson,Billy Carlson,1,14,,,,,,,,,,,14,,,,,,,
billy cook,Billy Cook,4,6,,,,,,,,,,,,2,2,,1,1,,
billy herman,Billy Herman,2,2,,,,,,1,1,,,,,,,,,,,
billy ripken,Billy Ripken,2,2,,,,,,,,,,,,,,,1,,,1
billy wagner,Billy Wagner,2,3,,,,,,,,,,,,2,1,,,,,
billy williams,Billy Williams,5,6,,,,1,,,1,,,,,,1,,2,,,1
bishop letson,Bishop Letson,1,2,,,,,,,,,2,,,,,,,,,
blade tidwell,Blade Tidwell,2,4,,,,,,,,,,,,,3,,,1,,
blaine crim,Blaine Crim,2,3,,,,,,,,,,,,,2,,,1,,
blair henley,Blair Henley,1,1,,,,,1,,,,,,,,,,,,,
blair henley rc,Blair Henley RC,1,1,,,,,,,,1,,,,,,,,,,
blake aita,Blake Aita,1,1,,,,,,,,,1,,,,,,,,,
blake burke,Blake Burke,1,3,,,3,,,,,,,,,,,,,,,
blake dunn,Blake Dunn,4,8,,2,,,,,,,,,,2,3,,,1,,
blake larson,Blake Larson,1,3,,,3,,,,,,,,,,,,,,,
blake mitchell,Blake Mitchell,5,10,4,2,1,,,,,,1,,2,,,,,,,
blake perkins,Blake Perkins,1,1,,,,,,,1,,,,,,,,,,,
blake rutherford,Blake Rutherford,2,3,,,,1,,,2,,,,,,,,,,,
blake sabol,Blake Sabol,1,1,,,,,,,1,,,,,,,,,,,
blake snell,Blake Snell,11,28,1,,,2,1,4,3,4,,1,,1,,,5,4,,2
blake treinen,Blake Treinen,3,3,,,,,,,,1,,,,1,,,,1,,
blake walston,Blake Walston,2,3,,,,,2,,,1,,,,,,,,,,
blake wolters,Blake Wolters,2,3,,,,,,,,,2,1,,,,,,,,
blake wright,Blake Wright,1,3,,,3,,,,,,,,,,,,,,,
blaze alexander,Blaze Alexander,4,9,,,,,4,,,3,,,,,,,1,,,1
blaze jordan,Blaze Jordan,1,1,1,,,,,,,,,,,,,,,,,
bo bichette,Bo Bichette,14,42,1,1,,2,1,9,11,2,1,1,,1,,,5,1,4,2
bo davidson,Bo Davidson,1,2,,,,,,,,,,2,,,,,,,,
bo jackson,Bo Jackson,7,24,,,,1,,5,5,,,,,1,,2,4,,,6
bo naylor,Bo Naylor,6,10,,2,,1,,2,,,,,,,,,3,,1,1
bo walker,Bo Walker,1,3,,,,,,,,,3,,,,,,,,,
bob feller,Bob Feller,2,3,,,,,,2,1,,,,,,,,,,,
bob gibson,Bob Gibson,6,9,1,,,,,2,1,3,,,,,,1,1,,,
bob seymour,Bob Seymour,2,3,,,,,,,,,,,,,,,,,1,2
bobby abreu,Bobby Abreu,2,2,,,,,,,,,,,,,1,,1,,,
bobby dalbec,Bobby Dalbec,1,1,,,,,,,1,,,,,,,,,,,
bobby miller,Bobby Miller,5,10,,,,,,1,2,5,,,,,,,1,1,,
bobby witt jr.,Bobby Witt Jr.,16,187,1,4,,7,12,23,20,22,6,8,,10,7,11,15,15,7,19
boggs,Boggs,1,1,,,,,,,,,,,,,,,1,,,
boston baro,Boston Baro,1,1,1,,,,,,,,,,,,,,,,,
boston bateman,Boston Bateman,1,3,,,3,,,,,,,,,,,,,,,
boston red sox,Boston Red Sox,3,4,,,,,,1,,,,2,,,,,,,,1
bowden francis,Bowden Francis,1,1,,,,,,,,,,,,,,,1,,,
brad keller,Brad Keller,1,1,,,,,,1,,,,,,,,,,,,
brad lord,Brad Lord,2,4,,,,,,,,,,,,,3,,,1,,
braden montgomery,Braden Montgomery,4,18,,,10,,,,,,4,1,3,,,,,,,
bradgley rodriguez,Bradgley Rodriguez,1,1,,,,,,,,,,,,,,,,,,1
bradgley rodríguez,Bradgley Rodríguez,1,1,,,,,,,,,,,,,,,,,1,
bradley blalock,Bradley Blalock,5,6,,,,,,,,,,,,2,1,,1,1,1,
brady basso,Brady Basso,3,5,,,,,,,,,,,,2,1,,2,,,
brady cerkownyk,Brady Cerkownyk,1,1,,1,,,,,,,,,,,,,,,,
brady ebel,Brady Ebel,1,7,,,,,,,,,,,7,,,,,,,
brady feigl,Brady Feigl,3,3,,,,,,,,,,,,1,1,,,1,,
brady house,Brady House,4,15,2,2,,,,,,,,,,,,,,,3,8
brady singer,Brady Singer,5,8,,,,,1,1,,,,,,,,,1,3,,2
bralyn brazoban,Bralyn Brazoban,2,4,,2,2,,,,,,,,,,,,,,,
brando mayea,Brando Mayea,2,5,3,2,,,,,,,,,,,,,,,,
brandon compton,Brandon Compton,1,4,,,,,,,,,,,4,,,,,,,
brandon crawford,Brandon Crawford,4,11,,,,,1,3,6,1,,,,,,,,,,
brandon drury,Brandon Drury,1,1,,,,,,,1,,,,,,,,,,,
brandon eisert,Brandon Eisert,3,3,,,,,,,,,,,,1,1,,1,,,
brandon lockridge,Brandon Lockridge,3,5,,,,,,,,,,,,2,2,,1,,,
brandon lowe,Brandon Lowe,8,11,,,,1,1,,1,,,,,1,,,3,1,2,1
brandon marsh,Brandon Marsh,2,5,,,,,,4,,,,,,,,,,,,1
brandon neely,Brandon Neely,1,3,,,3,,,,,,,,,,,,,,,
brandon nimmo,Brandon Nimmo,10,24,,,,3,,1,2,3,,,,1,,1,5,3,2,3
brandon pfaadt,Brandon Pfaadt,5,5,,,,,,1,1,,,,,,,,,1,1,1
brandon sproat,Brandon Sproat,5,6,,1,2,,,,,,1,,,,,,,,1,1
brandon walter,Brandon Walter,5,7,,,,2,1,2,1,,,,,,,,,,,1
brandon webb,Brandon Webb,1,1,,,,,,,,,,,,,,,,1,,
brandon williamson,Brandon Williamson,1,1,,,,,,,1,,,,,,,,,,,
brandon woodruff,Brandon Woodruff,4,5,,,,,,2,1,1,,,,,,,1,,,
brandon young,Brandon Young,2,3,,,,,,,,,,,,,2,,,1,,
brandyn garcia,Brandyn Garcia,1,2,,,,,,,,,,,,,,,,,,2
brant hurter,Brant Hurter,3,3,,,,,,,,,,,,1,1,,,1,,
braxton ashcraft,Braxton Ashcraft,3,5,,,,,,,,,,,,,3,,,1,1,
braxton fulford,Braxton Fulford,2,4,,,,,,,,,,,,,3,,,1,,
braxton garrett,Braxton Garrett,1,1,,,,,,1,,,,,,,,,,,,
brayan bello,Brayan Bello,4,5,,,,,1,,2,,,,,,,,1,,,1
brayan cortesia,Brayan Cortesia,1,2,,,,,,,,,,2,,,,,,,,
brayan rocchio,Brayan Rocchio,4,6,,,,3,,,1,,1,,,,,,,,1,
brayden taylor,Brayden Taylor,4,7,3,1,2,,,,,,1,,,,,,,,,
braydon fisher,Braydon Fisher,2,3,,,,,,,,,,,,,2,,,1,,
braylin morel,Braylin Morel,2,4,,2,2,,,,,,,,,,,,,,,
braylon doughty,Braylon Doughty,1,3,,,3,,,,,,,,,,,,,,,
braylon payne,Braylon Payne,3,7,,,4,,,,,,2,1,,,,,,,,
brenan hanifee,Brenan Hanifee,2,2,,,,,1,,1,,,,,,,,,,,
brendan donovan,Brendan Donovan,7,13,,,,,,2,,,,,,1,2,,1,2,2,3
brendan rodgers,Brendan Rodgers,2,2,,,,,,1,,,,,,,,,1,,,
brendan white,Brendan White,3,3,,,,1,1,1,,,,,,,,,,,,
brent rooker,Brent Rooker,7,26,,,,,,1,,,,,,2,3,,7,7,2,4
brent suter,Brent Suter,1,1,,,,,,,,1,,,,,,,,,,
brenton doyle,Brenton Doyle,10,15,,,,1,,1,5,1,1,,,1,,,2,1,1,1
brett bateman,Brett Bateman,1,2,,,,,,,,,,2,,,,,,,,
brett baty,Brett Baty,7,8,,,,1,1,,2,,1,,,,,,,1,1,1
brett gardner,Brett Gardner,1,1,,,,,,,,,,,,,,,1,,,
brett harris,Brett Harris,2,8,,,,,4,,,4,,,,,,,,,,
brett sullivan,Brett Sullivan,1,1,,,,,,,,1,,,,,,,,,,
brian curley,Brian Curley,1,2,,,,,,,,,,,2,,,,,,,
brian holiday,Brian Holiday,1,3,,,3,,,,,,,,,,,,,,,
brian roberts,Brian Roberts,1,1,,,,,,,,,,,,,,,1,,,
brian wilson,Brian Wilson,3,3,,,,,,,1,1,,,,,,,,,,1
brice matthews,Brice Matthews,3,14,4,,,,,,,,,,,,,,,,2,8
brice turang,Brice Turang,8,12,,,,1,,,2,,,,,2,1,,1,1,2,2
briggs mckenzie,Briggs McKenzie,1,3,,,,,,,,,,,3,,,,,,,
brock porter,Brock Porter,2,5,3,,2,,,,,,,,,,,,,,,
brock vradenburg,Brock Vradenburg,1,2,2,,,,,,,,,,,,,,,,,
brock wilken,Brock Wilken,3,11,6,1,4,,,,,,,,,,,,,,,
brody brecht,Brody Brecht,2,5,,,3,,,,,,,,2,,,,,,,
brody hopkins,Brody Hopkins,1,1,,,,,,,,,1,,,,,,,,,
brooks auger,Brooks Auger,1,2,,,2,,,,,,,,,,,,,,,
brooks baldwin,Brooks Baldwin,4,7,,,,,,,,,,,,2,3,,1,,1,
