card_number,player,card_type,card_type_display
BP-52,Ismael Javier,Bowman Prospects,BP
BP-53,Jacob Bresnahan,Bowman Prospects,BP
BP-54,Aidan Miller,Bowman Prospects,BP
BP-55,Gary Gill Hill,Bowman Prospects,BP
BP-56,Chase Mobley,Bowman Prospects,BP
BP-57,Chase Hampton,Bowman Prospects,BP
BP-58,Jonathon Long,Bowman Prospects,BP
BP-59,Leo De Vries,Bowman Prospects,BP
BP-60,Jack Penney,Bowman Prospects,BP
BP-61,D'Angelo Ortiz,Bowman Prospects,BP
BP-62,Luke Sinnard,Bowman Prospects,BP
BP-63,George Klassen,Bowman Prospects,BP
BP-64,Jack Lines,Bowman Prospects,BP
BP-65,Aroon Escobar,Bowman Prospects,BP
BP-66,Jesus Made,Bowman Prospects,BP
BP-67,Franklin Arias,Bowman Prospects,BP
BP-68,Javier Mogollon,Bowman Prospects,BP
BP-69,Thomas White,Bowman Prospects,BP
BP-70,Esteban Gonzalez,Bowman Prospects,BP
BP-71,Richard Matic,Bowman Prospects,BP
BP-72,Paulino Santana,Bowman Prospects,BP
BP-73,Steven Echavarria,Bowman Prospects,BP
BP-74,Zack Showalter,Bowman Prospects,BP
BP-75,Charlie Condon,Bowman Prospects,BP
BP-76,Blake Wolters,Bowman Prospects,BP
BP-77,Khadim Diaw,Bowman Prospects,BP
BP-78,Payton Eeles,Bowman Prospects,BP
BP-79,Kevin McGonigle,Bowman Prospects,BP
BP-80,Edgleen Perez,Bowman Prospects,BP
BP-81,Aidan Smith,Bowman Prospects,BP
BP-82,Kevyn Castillo,Bowman Prospects,BP
BP-83,Émilien Pitre,Bowman Prospects,BP
BP-84,Jansel Luis,Bowman Prospects,BP
BP-85,Jared Sundstrom,Bowman Prospects,BP
BP-86,Konnor Griffin,Bowman Prospects,BP
BP-87,Didier Fuentes,Bowman Prospects,BP
BP-88,Jesus Lopez,Bowman Prospects,BP
BP-89,Sean Keys,Bowman Prospects,BP
BP-90,Andrew Morris,Bowman Prospects,BP
BP-91,PJ Morlando,Bowman Prospects,BP
BP-92,Bo Walker,Bowman Prospects,BP
BP-93,Seaver King,Bowman Prospects,BP
BP-94,Marcos Torres,Bowman Prospects,BP
BP-95,Tsung-Che Cheng,Bowman Prospects,BP
BP-96,Humberto Cruz,Bowman Prospects,BP
BP-97,Cameron Sullivan,Bowman Prospects,BP
BP-98,Anderson Brito,Bowman Prospects,BP
BP-99,Naibel Mariano,Bowman Prospects,BP
BP-100,Sammy Stafura,Bowman Prospects,BP
BP-101,Tink Hence,Bowman Prospects,BP
BP-102,Nate Nankil,Bowman Prospects,BP
BP-103,Jac Caglianone,Bowman Prospects,BP
BP-104,Cobb Hightower,Bowman Prospects,BP
BP-105,Jonah Tong,Bowman Prospects,BP
BP-106,Jose Perdomo,Bowman Prospects,BP
BP-107,Christian Moore,Bowman Prospects,BP
BP-108,Carson Benge,Bowman Prospects,BP
BP-109,Samuel Basallo,Bowman Prospects,BP
BP-110,Fernando Cruz,Bowman Prospects,BP
BP-111,Jose Pirela,Bowman Prospects,BP
BP-112,Cody Freeman,Bowman Prospects,BP
BP-113,Caden Kendle,Bowman Prospects,BP
BP-114,Nick Kurtz,Bowman Prospects,BP
BP-115,Eduardo Quintero,Bowman Prospects,BP
BP-116,Andrew Painter,Bowman Prospects,BP
BP-117,Jesus Tillero,Bowman Prospects,BP
BP-118,Kyle Teel,Bowman Prospects,BP
BP-119,Hyungchan Um,Bowman Prospects,BP
BP-120,Caleb Lomavita,Bowman Prospects,BP
BP-121,Winston Santos,Bowman Prospects,BP
BP-122,Chase Burns,Bowman Prospects,BP
BP-123,Jhonayker Ugarte,Bowman Prospects,BP
BP-124,Elvin Garcia,Bowman Prospects,BP
BP-125,Alejandro Rosario,Bowman Prospects,BP
BP-126,Jhancarlos Lara,Bowman Prospects,BP
BP-127,Emil Morales,Bowman Prospects,BP
BP-128,Cory Lewis,Bowman Prospects,BP
BP-129,Malcolm Moore,Bowman Prospects,BP
BP-130,Conrad Cason,Bowman Prospects,BP
BP-131,Travis Bazzana,Bowman Prospects,BP
BP-132,Braden Montgomery,Bowman Prospects,BP
BP-133,Sebastian Walcott,Bowman Prospects,BP
BP-134,Onil Perez,Bowman Prospects,BP
BP-135,Lucas Ramirez,Bowman Prospects,BP
BP-136,Josh Knoth,Bowman Prospects,BP
BP-137,Kellon Lindsey,Bowman Prospects,BP
BP-138,Druw Jones,Bowman Prospects,BP
BP-139,Kyle DeBarge,Bowman Prospects,BP
BP-140,Luis Merejo,Bowman Prospects,BP
BP-141,Chen-Wei Lin,Bowman Prospects,BP
BP-142,Santiago Suarez,Bowman Prospects,BP
BP-143,Jakob Wright,Bowman Prospects,BP
BP-144,Pablo Guerrero,Bowman Prospects,BP
BP-145,Matt Wilkinson,Bowman Prospects,BP
BP-146,Yeremi Cabrera,Bowman Prospects,BP
BP-147,Jhonny Level,Bowman Prospects,BP
BP-148,Braylon Payne,Bowman Prospects,BP
BP-149,Alex Mooney,Bowman Prospects,BP
BP-150,Charles McAdoo,Bowman Prospects,BP
BCP-1,Walker Jenkins,Bowman Chrome Prospects,BCP
BCP-2,Zyhir Hope,Bowman Chrome Prospects,BCP
BCP-3,Romeo Sanabria,Bowman Chrome Prospects,BCP
BCP-4,Asbel Gonzalez,Bowman Chrome Prospects,BCP
BCP-5,Franyerber Montilla,Bowman Chrome Prospects,BCP
BCP-6,Wen-Hui Pan,Bowman Chrome Prospects,BCP
BCP-7,Gregory Barrios,Bowman Chrome Prospects,BCP
BCP-8,Dawel Joseph,Bowman Chrome Prospects,BCP
BCP-9,Esteban Mejia,Bowman Chrome Prospects,BCP
BCP-10,Cade Horton,Bowman Chrome Prospects,BCP
BCP-11,Jackson Humphries,Bowman Chrome Prospects,BCP
BCP-12,Hayden Alvarez,Bowman Chrome Prospects,BCP
BCP-13,Josue Briceno,Bowman Chrome Prospects,BCP
BCP-14,Owen Wild,Bowman Chrome Prospects,BCP
BCP-15,Walker Janek,Bowman Chrome Prospects,BCP
BCP-16,Engelth Urena,Bowman Chrome Prospects,BCP
BCP-17,Colt Emerson,Bowman Chrome Prospects,BCP
BCP-18,Ichiro Cano Hernandez,Bowman Chrome Prospects,BCP
BCP-19,Fabian Lopez,Bowman Chrome Prospects,BCP
BCP-20,Ashly Andujar,Bowman Chrome Prospects,BCP
BCP-21,Slade Caldwell,Bowman Chrome Prospects,BCP
BCP-22,JJ Wetherholt,Bowman Chrome Prospects,BCP
BCP-23,Lazaro Montes,Bowman Chrome Prospects,BCP
BCP-24,Max Clark,Bowman Chrome Prospects,BCP
BCP-25,Quinn Mathews,Bowman Chrome Prospects,BCP
BCP-26,Jancel Villarroel,Bowman Chrome Prospects,BCP
BCP-27,Yu-Min Lin,Bowman Chrome Prospects,BCP
BCP-28,Carlos Tavares,Bowman Chrome Prospects,BCP
BCP-29,David Ortiz Jr.,Bowman Chrome Prospects,BCP
BCP-30,Bishop Letson,Bowman Chrome Prospects,BCP
BCP-31,Ricardo Yan,Bowman Chrome Prospects,BCP
BCP-32,Cole Fontenelle,Bowman Chrome Prospects,BCP
BCP-33,Aron Estrada,Bowman Chrome Prospects,BCP
BCP-34,Rafael Flores,Bowman Chrome Prospects,BCP
BCP-35,Will Simpson,Bowman Chrome Prospects,BCP
BCP-36,Yophery Rodriguez,Bowman Chrome Prospects,BCP
BCP-37,Esmith Pineda,Bowman Chrome Prospects,BCP
BCP-38,Luis Pena,Bowman Chrome Prospects,BCP
BCP-39,James Tibbs III,Bowman Chrome Prospects,BCP
BCP-40,Robert Calaz,Bowman Chrome Prospects,BCP
BCP-41,Mitch Jebb,Bowman Chrome Prospects,BCP
BCP-42,Kristian Campbell,Bowman Chrome Prospects,BCP
BCP-43,Jhostynxon Garcia,Bowman Chrome Prospects,BCP
BCP-44,Hagen Smith,Bowman Chrome Prospects,BCP
BCP-45,Victor Rodrigues,Bowman Chrome Prospects,BCP
BCP-46,Cam Caminiti,Bowman Chrome Prospects,BCP
BCP-47,Dylan Fien,Bowman Chrome Prospects,BCP
BCP-48,Cam Smith,Bowman Chrome Prospects,BCP
BCP-49,Bryce Rainer,Bowman Chrome Prospects,BCP
BCP-50,Jesus Made,Bowman Chrome Prospects,BCP
BCP-51,Hyun-Seok Jang,Bowman Chrome Prospects,BCP
BCP-52,Ismael Javier,Bowman Chrome Prospects,BCP
BCP-53,Jacob Bresnahan,Bowman Chrome Prospects,BCP
BCP-54,Aidan Miller,Bowman Chrome Prospects,BCP
BCP-55,Gary Gill Hill,Bowman Chrome Prospects,BCP
BCP-56,Chase Mobley,Bowman Chrome Prospects,BCP
BCP-57,Chase Hampton,Bowman Chrome Prospects,BCP
BCP-58,Jonathon Long,Bowman Chrome Prospects,BCP
BCP-59,Leo De Vries,Bowman Chrome Prospects,BCP
BCP-60,Jack Penney,Bowman Chrome Prospects,BCP
BCP-61,D'Angelo Ortiz,Bowman Chrome Prospects,BCP
BCP-62,Luke Sinnard,Bowman Chrome Prospects,BCP
BCP-63,George Klassen,Bowman Chrome Prospects,BCP
BCP-64,Jack Lines,Bowman Chrome Prospects,BCP
BCP-65,Aroon Escobar,Bowman Chrome Prospects,BCP
BCP-66,Sammy Hernandez,Bowman Chrome Prospects,BCP
BCP-67,Franklin Arias,Bowman Chrome Prospects,BCP
BCP-68,Javier Mogollon,Bowman Chrome Prospects,BCP
BCP-69,Thomas White,Bowman Chrome Prospects,BCP
BCP-70,Esteban Gonzalez,Bowman Chrome Prospects,BCP
BCP-71,Richard Matic,Bowman Chrome Prospects,BCP
BCP-72,Paulino Santana,Bowman Chrome Prospects,BCP
BCP-73,Steven Echavarria,Bowman Chrome Prospects,BCP
BCP-74,Zack Showalter,Bowman Chrome Prospects,BCP
BCP-75,Charlie Condon,Bowman Chrome Prospects,BCP
BCP-76,Blake Wolters,Bowman Chrome Prospects,BCP
BCP-77,Khadim Diaw,Bowman Chrome Prospects,BCP
BCP-78,Payton Eeles,Bowman Chrome Prospects,BCP
BCP-79,Kevin McGonigle,Bowman Chrome Prospects,BCP
BCP-80,Edgleen Perez,Bowman Chrome Prospects,BCP
BCP-81,Aidan Smith,Bowman Chrome Prospects,BCP
BCP-82,Kevyn Castillo,Bowman Chrome Prospects,BCP
BCP-83,Émilien Pitre,Bowman Chrome Prospects,BCP
BCP-84,Jansel Luis,Bowman Chrome Prospects,BCP
BCP-85,Jared Sundstrom,Bowman Chrome Prospects,BCP
BCP-86,Konnor Griffin,Bowman Chrome Prospects,BCP
BCP-87,Didier Fuentes,Bowman Chrome Prospects,BCP
BCP-88,Jesus Lopez,Bowman Chrome Prospects,BCP
BCP-89,Sean Keys,Bowman Chrome Prospects,BCP
BCP-90,Andrew Morris,Bowman Chrome Prospects,BCP
BCP-91,PJ Morlando,Bowman Chrome Prospects,BCP
BCP-92,Bo Walker,Bowman Chrome Prospects,BCP
BCP-93,Seaver King,Bowman Chrome Prospects,BCP
BCP-94,Marcos Torres,Bowman Chrome Prospects,BCP
BCP-95,Tsung-Che Cheng,Bowman Chrome Prospects,BCP
BCP-96,Humberto Cruz,Bowman Chrome Prospects,BCP
BCP-97,Cameron Sullivan,Bowman Chrome Prospects,BCP
BCP-98,Anderson Brito,Bowman Chrome Prospects,BCP
BCP-99,Naibel Mariano,Bowman Chrome Prospects,BCP
BCP-100,Sammy Stafura,Bowman Chrome Prospects,BCP
BCP-101,Tink Hence,Bowman Chrome Prospects,BCP
BCP-102,Nate Nankil,Bowman Chrome Prospects,BCP
BCP-103,Jac Caglianone,Bowman Chrome Prospects,BCP
BCP-104,Cobb Hightower,Bowman Chrome Prospects,BCP
BCP-105,Jonah Tong,Bowman Chrome Prospects,BCP
BCP-106,Jose Perdomo,Bowman Chrome Prospects,BCP
BCP-107,Christian Moore,Bowman Chrome Prospects,BCP
BCP-108,Carson Benge,Bowman Chrome Prospects,BCP
BCP-109,Samuel Basallo,Bowman Chrome Prospects,BCP
BCP-110,Fernando Cruz,Bowman Chrome Prospects,BCP
BCP-111,Jose Pirela,Bowman Chrome Prospects,BCP
BCP-112,Cody Freeman,Bowman Chrome Prospects,BCP
BCP-113,Caden Kendle,Bowman Chrome Prospects,BCP
BCP-114,Nick Kurtz,Bowman Chrome Prospects,BCP
BCP-115,Eduardo Quintero,Bowman Chrome Prospects,BCP
BCP-116,Andrew Painter,Bowman Chrome Prospects,BCP
BCP-117,Jesus Tillero,Bowman Chrome Prospects,BCP
BCP-118,Kyle Teel,Bowman Chrome Prospects,BCP
BCP-119,Hyungchan Um,Bowman Chrome Prospects,BCP
BCP-120,Caleb Lomavita,Bowman Chrome Prospects,BCP
BCP-121,Winston Santos,Bowman Chrome Prospects,BCP
BCP-122,Chase Burns,Bowman Chrome Prospects,BCP
BCP-123,Jhonayker Ugarte,Bowman Chrome Prospects,BCP
BCP-124,Elvin Garcia,Bowman Chrome Prospects,BCP
BCP-125,Alejandro Rosario,Bowman Chrome Prospects,BCP
BCP-126,Jhancarlos Lara,Bowman Chrome Prospects,BCP
BCP-127,Emil Morales,Bowman Chrome Prospects,BCP
BCP-128,Cory Lewis,Bowman Chrome Prospects,BCP
BCP-129,Malcolm Moore,Bowman Chrome Prospects,BCP
BCP-130,Conrad Cason,Bowman Chrome Prospects,BCP
BCP-131,Travis Bazzana,Bowman Chrome Prospects,BCP
BCP-132,Braden Montgomery,Bowman Chrome Prospects,BCP
BCP-133,Sebastian Walcott,Bowman Chrome Prospects,BCP
BCP-134,Onil Perez,Bowman Chrome Prospects,BCP
BCP-135,Lucas Ramirez,Bowman Chrome Prospects,BCP
BCP-136,Josh Knoth,Bowman Chrome Prospects,BCP
BCP-137,Kellon Lindsey,Bowman Chrome Prospects,BCP
BCP-138,Druw Jones,Bowman Chrome Prospects,BCP
BCP-139,Kyle DeBarge,Bowman Chrome Prospects,BCP
BCP-140,Luis Merejo,Bowman Chrome Prospects,BCP
BCP-141,Chen-Wei Lin,Bowman Chrome Prospects,BCP
BCP-142,Santiago Suarez,Bowman Chrome Prospects,BCP
BCP-143,Jakob Wright,Bowman Chrome Prospects,BCP
BCP-144,Pablo Guerrero,Bowman Chrome Prospects,BCP
BCP-145,Matt Wilkinson,Bowman Chrome Prospects,BCP
BCP-146,Yeremi Cabrera,Bowman Chrome Prospects,BCP
BCP-147,Jhonny Level,Bowman Chrome Prospects,BCP
BCP-148,Braylon Payne,Bowman Chrome Prospects,BCP
BCP-149,Alex Mooney,Bowman Chrome Prospects,BCP
BCP-150,Charles McAdoo,Bowman Chrome Prospects,BCP
BA-1,Mike Trout,Anime,BA
BA-2,Coby Mayo,Anime,BA
BA-3,Charlie Condon,Anime,BA
BA-4,Bobby Witt Jr.,Anime,BA
BA-5,Mookie Betts,Anime,BA
BA-6,Aaron Judge,Anime,BA
BA-7,Bryce Harper,Anime,BA
BA-8,Leo De Vries,Anime,BA
BA-9,JJ Wetherholt,Anime,BA
BA-10,James Wood,Anime,BA
BA-11,Walker Jenkins,Anime,BA
BA-12,Max Clark,Anime,BA
BA-13,George Brett,Anime,BA
BA-14,Ichiro,Anime,BA
BA-15,Derek Jeter,Anime,BA
BA-16,Jac Caglianone,Anime,BA
BA-17,Travis Bazzana,Anime,BA
BA-18,Konnor Griffin,Anime,BA
BA-19,Christian Moore,Anime,BA
BA-20,Roki Sasaki,Anime,BA
BA-21,Hyeseong Kim,Anime,BA
BA-22,Albert Pujols,Anime,BA
BA-23,Juan Soto,Anime,BA
BA-24,Hideki Matsui,Anime,BA
BA-25,Dylan Crews,Anime,BA
BA-26,Luisangel Acuña,Anime,BA
BA-27,Shohei Ohtani,Anime,BA
BA-28,Fernando Tatis Jr.,Anime,BA
BA-29,Rafael Devers,Anime,BA
BA-30,Vladimir Guerrero Jr.,Anime,BA
BA-14,Ichiro,Anime Kanji Variations,BA-K
BA-20,Roki Sasaki,Anime Kanji Variations,BA-K
BA-24,Hideki Matsui,Anime Kanji Variations,BA-K
BA-27,Shohei Ohtani,Anime Kanji Variations,BA-K
BDA-JB,Bobby Witt Jr. / Jac Caglianone,Bowman Dual Autographs,BDA
BPA-AP,Andrew Painter,Bowman Prospect Autographs,BPA
BPA-BA,Blake Aita,Bowman Prospect Autographs,BPA
BPA-CB,Chase Burns,Bowman Prospect Autographs,BPA
BPA-CC,Charlie Condon,Bowman Prospect Autographs,BPA
BPA-CHC,Chris Campos,Bowman Prospect Autographs,BPA
BPA-CHO,Cade Horton,Bowman Prospect Autographs,BPA
BPA-CM,Charles McAdoo,Bowman Prospect Autographs,BPA
BPA-CW,Chandler Welch,Bowman Prospect Autographs,BPA
BPA-DH,David Hagaman,Bowman Prospect Autographs,BPA
BPA-DJ,Druw Jones,Bowman Prospect Autographs,BPA
BPA-EQ,Eduardo Quintero,Bowman Prospect Autographs,BPA
BPA-GH,Garrett Horn,Bowman Prospect Autographs,BPA
BPA-GK,Grant Knipp,Bowman Prospect Autographs,BPA
BPA-HS,Hagen Smith,Bowman Prospect Autographs,BPA
BPA-JC,Jac Caglianone,Bowman Prospect Autographs,BPA
BPA-JH,Josh Hartle,Bowman Prospect Autographs,BPA
BPA-JM,Jesus Made,Bowman Prospect Autographs,BPA
BPA-JR,Jeremy Rodriguez,Bowman Prospect Autographs,BPA
BPA-JW,JJ Wetherholt,Bowman Prospect Autographs,BPA
BPA-KD,Kyle DeBarge,Bowman Prospect Autographs,BPA
BPA-KE,Konner Eaton,Bowman Prospect Autographs,BPA
BPA-KT,Kyle Teel,Bowman Prospect Autographs,BPA
BPA-LA,Luis Almeyda,Bowman Prospect Autographs,BPA
BPA-LD,Leo De Vries,Bowman Prospect Autographs,BPA
BPA-MA,Mick Abel,Bowman Prospect Autographs,BPA
BPA-NK,Nick Kurtz,Bowman Prospect Autographs,BPA
BPA-PM,PJ Morlando,Bowman Prospect Autographs,BPA
BPA-PO,Peyton Olejnik,Bowman Prospect Autographs,BPA
BPA-SC,Slade Caldwell,Bowman Prospect Autographs,BPA
BPA-SS,Sam Stuhr,Bowman Prospect Autographs,BPA
BPA-TB,Travis Bazzana,Bowman Prospect Autographs,BPA
BPA-TH,Tink Hence,Bowman Prospect Autographs,BPA
BPA-TT,Tommy Troy,Bowman Prospect Autographs,BPA
BPA-WJ,Walker Jenkins,Bowman Prospect Autographs,BPA
PRV-AP,Andy Pages,Bowman Rookies and Veterans Autographs,PRV
PRV-BB,Brett Baty,Bowman Rookies and Veterans Autographs,PRV
PRV-BD,Brenton Doyle,Bowman Rookies and Veterans Autographs,PRV
PRV-BR,Brayan Rocchio,Bowman Rookies and Veterans Autographs,PRV
PRV-CC,Corbin Carroll,Bowman Rookies and Veterans Autographs,PRV
PRV-CCO,Colton Cowser,Bowman Rookies and Veterans Autographs,PRV
PRV-CM,Coby Mayo,Bowman Rookies and Veterans Autographs,PRV
PRV-CR,Ceddanne Rafaela,Bowman Rookies and Veterans Autographs,PRV
PRV-DT,Drew Thorpe,Bowman Rookies and Veterans Autographs,PRV
PRV-EC,Evan Carter,Bowman Rookies and Veterans Autographs,PRV
PRV-HW,Hurston Waldrep,Bowman Rookies and Veterans Autographs,PRV
PRV-JB,Jake Bloss,Bowman Rookies and Veterans Autographs,PRV
PRV-JD,Jasson Domínguez,Bowman Rookies and Veterans Autographs,PRV
PRV-JH,Jackson Holliday,Bowman Rookies and Veterans Autographs,PRV
PRV-JJ,Josh Jung,Bowman Rookies and Veterans Autographs,PRV
PRV-JJO,Jackson Jobe,Bowman Rookies and Veterans Autographs,PRV
PRV-JL,Jordan Lawlar,Bowman Rookies and Veterans Autographs,PRV
PRV-JM,J.D. Martinez,Bowman Rookies and Veterans Autographs,PRV
PRV-JW,Jordan Westburg,Bowman Rookies and Veterans Autographs,PRV
PRV-KB,Kris Bryant,Bowman Rookies and Veterans Autographs,PRV
PRV-KR,Kumar Rocker,Bowman Rookies and Veterans Autographs,PRV
PRV-LA,Luisangel Acuña,Bowman Rookies and Veterans Autographs,PRV
PRV-MO,Matt Olson,Bowman Rookies and Veterans Autographs,PRV
PRV-MV,Mark Vientos,Bowman Rookies and Veterans Autographs,PRV
PRV-OP,Oswald Peraza,Bowman Rookies and Veterans Autographs,PRV
PRV-RA,Ronald Acuña Jr.,Bowman Rookies and Veterans Autographs,PRV
PRV-SL,Seth Lugo,Bowman Rookies and Veterans Autographs,PRV
PRV-SS,Spencer Strider,Bowman Rookies and Veterans Autographs,PRV
PRV-TB,Tyler Black,Bowman Rookies and Veterans Autographs,PRV
PRV-TE,Tommy Edman,Bowman Rookies and Veterans Autographs,PRV
PRV-TS,Thomas Saggese,Bowman Rookies and Veterans Autographs,PRV
PRV-TSA,Trey Sweeney,Bowman Rookies and Veterans Autographs,PRV
PRV-VG,Vladimir Guerrero Jr.,Bowman Rookies and Veterans Autographs,PRV
PRV-VS,Victor Scott II,Bowman Rookies and Veterans Autographs,PRV
PRV-XE,Xavier Edwards,Bowman Rookies and Veterans Autographs,PRV
BTP-1,Roman Anthony,Bowman Scouts' Top 100,BTP
BTP-2,Walker Jenkins,Bowman Scouts' Top 100,BTP
BTP-3,Carson Williams,Bowman Scouts' Top 100,BTP
BTP-4,Marcelo Mayer,Bowman Scouts' Top 100,BTP
BTP-5,Samuel Basallo,Bowman Scouts' Top 100,BTP
BTP-6,Max Clark,Bowman Scouts' Top 100,BTP
BTP-7,Charlie Condon,Bowman Scouts' Top 100,BTP
BTP-8,Travis Bazzana,Bowman Scouts' Top 100,BTP
BTP-9,Ethan Salas,Bowman Scouts' Top 100,BTP
BTP-10,Jesus Made,Bowman Scouts' Top 100,BTP
BTP-11,Bubba Chandler,Bowman Scouts' Top 100,BTP
BTP-12,Colt Emerson,Bowman Scouts' Top 100,BTP
BTP-13,Kristian Campbell,Bowman Scouts' Top 100,BTP
